"Feature","Data_Type","Category","Sub_Category","ACH-000048","ACH-000091","ACH-000123","ACH-000132","ACH-000237","ACH-000278","ACH-000324","ACH-000524","ACH-000527","ACH-000542","ACH-000657","ACH-000663","ACH-000688","ACH-000696","ACH-000701","ACH-000704","ACH-000713","ACH-000719","ACH-000796","ACH-000811","ACH-000885","ACH-000906","ACH-000947"
"PROPRANOLOL (BRD:BRD-A10070317-003-28-3)_sec","num","Drug Screen","Prism Secondary",NA,0.8801804,0.7035737,0.9768301,0.9720639,NA,0.721468,NA,NA,NA,NA,0.8289679,0.9642992,0.962669,NA,NA,NA,0.8750112,0.9983281,0.9485488,0.9419259,NA,NA
"GSK429286A (BRD:BRD-A10523515-001-07-9)_sec","num","Drug Screen","Prism Secondary",0.8088676,NA,NA,0.8924735,0.9246873,0.9577686,NA,NA,0.794418,NA,0.9689601,NA,NA,NA,0.9146549,0.9744121,0.9282231,NA,NA,NA,NA,NA,0.9460667
"IMILOXAN (BRD:BRD-A10903566-003-07-7)_sec","num","Drug Screen","Prism Secondary",NA,0.9062627,0.6419142,0.9750279,0.9702419,NA,NA,NA,NA,NA,NA,NA,NA,0.8570281,NA,NA,NA,NA,0.8922091,0.8297829,NA,NA,NA
"CARVEDILOL (BRD:BRD-A10977446-001-12-1)_sec","num","Drug Screen","Prism Secondary",0.9359032,0.9083538,0.8769993,0.9339702,0.7917372,0.9263934,0.8705689,0.9414979,0.7965571,NA,0.8989552,NA,NA,0.9395214,0.9654041,NA,0.8938782,0.8899541,0.9042867,0.9325387,0.8879202,0.8797676,0.8876841
"NADIDE (BRD:BRD-A11132253-001-08-2)_sec","num","Drug Screen","Prism Secondary",0.9673701,0.8059591,NA,0.9394851,0.962389,NA,NA,NA,NA,NA,NA,NA,0.9639724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEHYDROCHOLATE-ACID (BRD:BRD-A11551002-001-04-6)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9807635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PROSCILLARIDIN-A (BRD:BRD-A11815689-001-01-1)_sec","num","Drug Screen","Prism Secondary",0.2665809,0.19926,NA,0.3196524,0.2115258,0.3826449,NA,0.4427897,NA,0.4399349,0.3313786,0.4697577,NA,0.408424,0.4564578,0.3148427,NA,0.2541854,0.4167738,0.4162224,0.4024292,0.2412673,NA
"LORAZEPAM (BRD:BRD-A11990600-001-03-4)_sec","num","Drug Screen","Prism Secondary",NA,NA,0.9500989,0.9612702,0.9043507,NA,NA,NA,0.8450596,NA,0.9236381,0.8245914,NA,NA,NA,0.9851183,NA,NA,NA,NA,0.9321662,NA,NA
"REBEMADLIN (BRD:BRD-A12230535-001-06-7)_sec","num","Drug Screen","Prism Secondary",NA,0.973471,0.7880099,NA,NA,NA,NA,NA,0.889555,0.8504341,NA,0.8172002,0.8778024,NA,NA,0.8778164,NA,0.8960149,NA,NA,0.8411817,NA,NA
"USNIACIN-(+) (BRD:BRD-A12417644-001-07-6)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,0.974521,NA,NA,0.9251317,NA,0.9171403,NA,NA,NA,NA,NA,NA,0.9506902,NA,0.8010551,0.9438275,0.971751
"POMALIDOMIDE (BRD:BRD-A12994259-001-02-1)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8954943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLUOROMETHOLONE (BRD:BRD-A13133631-001-04-0)_sec","num","Drug Screen","Prism Secondary",0.7345261,0.7732876,0.6623683,0.9753858,0.7397789,0.8205543,0.6917587,0.8537659,0.7126316,0.7008325,0.7713943,0.7043346,0.9637435,0.832642,0.8914028,NA,0.7983653,0.8183095,0.8050824,0.86742,0.7126851,0.7350641,0.7344885
"ORNITHINE (BRD:BRD-A13561534-003-02-0)_sec","num","Drug Screen","Prism Secondary",NA,0.9544396,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8959994,0.8285375,NA,NA,NA,NA,NA,NA,0.9843317,NA,NA,NA
"TC1 (BRD:BRD-A13964793-001-02-6)_sec","num","Drug Screen","Prism Secondary",0.8286697,NA,NA,NA,0.9391186,0.9716815,NA,NA,NA,0.8273931,NA,NA,NA,NA,NA,NA,NA,NA,0.9708596,0.943821,0.9446481,NA,0.9372187
"OCTOPAMINE (BRD:BRD-A14240607-003-26-1)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9716338,NA,NA,NA,NA,NA,NA,NA
"IDRA-21 (BRD:BRD-A14344385-001-03-2)_sec","num","Drug Screen","Prism Secondary",0.9402614,NA,NA,0.9426024,0.8949012,0.9374773,NA,NA,0.9619691,NA,NA,0.8729418,0.722004,0.8989827,NA,0.8961458,0.9497675,0.9687212,0.9111892,0.9322688,0.9179949,NA,NA
"MESORIDAZINE (BRD:BRD-A14395271-074-17-8)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894169,0.8813312,NA,NA,NA,NA,NA,NA,NA,0.9516166,0.931458,NA,NA
"NORGESTREL (BRD:BRD-A14886633-001-01-6)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,0.9654832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9414863,NA,0.9581532,0.8619194,NA,0.9679596,NA
"ISOXSUPRINE (BRD:BRD-A16700644-003-04-4)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,0.9497135,NA,0.8807721,NA,NA,NA,0.8582685,NA,NA,NA,NA,NA,NA,NA,NA,0.8944384,NA,NA
"LENALIDOMIDE (BRD:BRD-A17883755-001-06-1)_sec","num","Drug Screen","Prism Secondary",NA,0.922138,NA,0.9916666,0.8149493,0.9871781,0.8875783,0.9516461,0.7976963,0.8737206,0.9223903,0.9227768,NA,0.9772878,0.9538519,0.9626765,NA,0.9104893,0.9317391,0.9228358,0.8528033,0.9305499,0.9064849
"IDAZOXAN (BRD:BRD-A18696154-003-22-6)_sec","num","Drug Screen","Prism Secondary",0.8540116,NA,0.7442301,0.9062748,0.8854089,0.8473851,0.8466519,0.8822729,NA,0.8677062,NA,0.8534498,NA,0.8873114,NA,NA,0.8519777,NA,0.940618,0.874763,0.8166412,0.8652931,0.9909545
"ATENOLOL-(+/-) (BRD:BRD-A20239487-001-24-9)_sec","num","Drug Screen","Prism Secondary",0.838863,0.9784806,NA,NA,NA,NA,NA,0.9282937,0.9205452,NA,NA,0.9756187,NA,NA,0.9254204,NA,0.9194079,0.9834052,NA,NA,NA,NA,NA
"CANRENONE (BRD:BRD-A20644369-001-08-6)_sec","num","Drug Screen","Prism Secondary",NA,0.9840597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9566457,NA,NA
"SULMAZOLE (BRD:BRD-A22081593-001-11-1)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,0.7631505,NA,NA,NA,NA,0.9857077,0.923404,0.9489717,NA,NA,NA,NA,NA,NA,NA,NA,0.9770631,0.9205407,NA
"SB-205384 (BRD:BRD-A22707317-001-10-8)_sec","num","Drug Screen","Prism Secondary",0.8794032,0.9034802,0.8471677,NA,0.903403,0.8993575,0.8957771,NA,0.8108631,0.9130635,0.8965732,0.9181502,NA,0.8934154,0.8873534,0.9170035,NA,0.9285442,0.9275573,NA,0.9497629,0.8851437,0.8800705
"ITRACONAZOLE (BRD:BRD-A23067620-300-01-3)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8785547,NA,NA,NA,NA,NA,0.9043562,NA,NA,NA,NA,NA
"PHENIRAMINE (BRD:BRD-A23072235-050-18-5)_sec","num","Drug Screen","Prism Secondary",0.8487697,0.8560953,0.8689381,NA,0.8846645,NA,0.8037619,NA,0.8754435,0.8043454,0.8133619,0.8907255,NA,0.8891342,NA,NA,0.7779635,NA,0.8795456,0.8971989,0.804604,0.8212116,0.8121496
"SCLAREOL (BRD:BRD-A23127772-001-02-3)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9915266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NADIFLOXACIN (BRD:BRD-A24397426-001-10-4)_sec","num","Drug Screen","Prism Secondary",0.9258096,0.9953239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7848383,0.9557493,NA,0.9787135,NA,NA,NA,NA,NA,NA,NA
"WARFARIN (BRD:BRD-A24514565-001-09-7)_sec","num","Drug Screen","Prism Secondary",NA,0.9536949,NA,0.998058,NA,NA,NA,NA,NA,NA,0.8778615,0.9609665,NA,0.9137247,0.9157103,NA,0.8047526,NA,0.9215349,NA,NA,0.9608984,0.9718055
"ISOETHARINE (BRD:BRD-A24587114-066-22-5)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9952987,NA,NA,NA,NA,NA,NA,NA
"ERASTIN (BRD:BRD-A25004090-001-08-4)_sec","num","Drug Screen","Prism Secondary",0.8658994,NA,NA,0.8598177,NA,0.8514618,0.8353855,0.9645294,0.7892418,0.8595838,0.8563154,0.8472493,NA,0.9529208,NA,0.9228238,0.9179337,NA,0.8431044,0.9268783,0.8471464,0.8026891,NA
"AMINOGLUTETHIMIDE (BRD:BRD-A25234499-001-19-1)_sec","num","Drug Screen","Prism Secondary",0.8753142,0.8975441,NA,NA,0.9091926,NA,NA,NA,NA,NA,NA,0.949445,NA,NA,NA,NA,0.9879769,0.9216872,0.9004325,NA,0.9139587,NA,0.8946734
"KI-16425 (BRD:BRD-A25569250-001-03-3)_sec","num","Drug Screen","Prism Secondary",0.9564137,NA,NA,0.7392479,NA,0.9039667,0.9993139,NA,0.6713852,0.9897551,0.9082146,0.8083605,NA,NA,NA,0.9447173,NA,NA,0.9380513,0.9163798,0.9055546,0.8115455,NA
"NARASIN (BRD:BRD-A25608658-001-01-1)_sec","num","Drug Screen","Prism Secondary",0.6236873,0.7677292,NA,0.7261904,0.8358627,0.7633164,0.8936688,NA,0.6610118,0.8696492,0.8029823,0.8490231,NA,0.8986379,0.8943658,0.9819573,0.9100951,0.7353971,0.8441195,0.9386231,0.740176,0.7590747,0.7838444
"EMETINE (BRD:BRD-A25687296-300-04-3)_sec","num","Drug Screen","Prism Secondary",0.4795631,0.5191663,0.5380206,0.5572544,0.556558,0.5642029,0.5216427,0.5870294,0.6440645,0.5352516,0.5651887,0.50785,NA,0.5537531,0.5986763,0.5628443,0.5812006,0.5677107,0.5565571,0.5809537,0.5521506,0.5486678,NA
"ZALDARIDE (BRD:BRD-A26032986-050-02-1)_sec","num","Drug Screen","Prism Secondary",0.9317827,0.8727582,0.8918928,0.9050112,NA,NA,0.9674597,NA,0.9993088,NA,0.9460822,NA,0.8290654,NA,NA,0.9054262,NA,0.9530124,0.9210142,NA,0.8926508,0.9043595,NA
"FORMESTANE (BRD:BRD-A26503646-001-16-6)_sec","num","Drug Screen","Prism Secondary",0.9427574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9456266,NA
"A-154475 (BRD:BRD-A27376179-001-01-3)_sec","num","Drug Screen","Prism Secondary",0.4821152,NA,NA,0.7394189,0.6554095,0.6485692,0.643137,0.7015934,0.8701043,0.6387789,0.616748,0.5888235,NA,0.7316783,0.8545555,0.7763589,0.5858188,0.6965213,0.6838119,0.6664971,0.3582709,0.5097865,NA
"ALEXIDINE (BRD:BRD-A27883417-300-01-6)_sec","num","Drug Screen","Prism Secondary",0.8496803,0.8905727,0.9992742,0.8623106,0.8657171,0.9168176,0.8857933,0.9029705,0.9497927,0.9463569,0.8590495,0.8617654,0.9446227,0.9168527,0.9434589,0.9758256,0.8620175,0.8890151,0.8713885,0.8700181,0.8561127,0.8957904,0.8676186
"PREDNISOLONE (BRD:BRD-A27887842-001-04-0)_sec","num","Drug Screen","Prism Secondary",0.8858068,NA,0.7346347,0.8825065,0.947748,0.9243038,0.9210723,NA,NA,NA,NA,NA,NA,0.9464697,NA,NA,0.9517017,NA,0.9647443,NA,0.8891247,NA,NA
"SALINOMYCIN (BRD:BRD-A28301258-001-03-0)_sec","num","Drug Screen","Prism Secondary",0.7417412,0.7288537,0.7771362,0.8483563,0.8579117,0.8417907,0.7575443,0.7566334,0.846597,0.8325248,NA,0.6927976,NA,0.8788914,NA,0.9054511,0.89022,NA,0.767047,0.9001689,0.8334544,0.7654962,NA
"MTPG (BRD:BRD-A28329383-001-02-1)_sec","num","Drug Screen","Prism Secondary",NA,NA,0.875991,NA,NA,NA,NA,NA,0.736037,0.9472818,NA,NA,NA,NA,NA,NA,0.9745461,NA,0.9323411,NA,NA,0.960028,NA
"PKI-179 (BRD:BRD-A28467416-002-01-0)_sec","num","Drug Screen","Prism Secondary",0.5165234,NA,0.5957743,0.6856818,0.5625415,0.682037,0.5994161,0.5985457,0.8506806,0.7161863,NA,0.6043765,0.6577417,0.6082056,0.739684,0.556889,0.7204616,0.5245962,0.5193601,0.5696568,0.562512,0.6296972,0.6804658
"PUROMYCIN (BRD:BRD-A28970875-300-04-9)_sec","num","Drug Screen","Prism Secondary",0.678106,0.7895067,0.7283337,0.7064236,0.7006833,0.7039217,0.7221296,0.7106719,0.9069173,0.6842872,NA,0.8889102,0.7877523,0.7553897,0.8779155,0.7323213,0.6515784,0.8111388,0.7030959,0.7292451,0.6660054,0.6907995,NA
"BICALUTAMIDE (BRD:BRD-A29485665-001-12-8)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9771746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLORFENICOL (BRD:BRD-A30886737-001-02-9)_sec","num","Drug Screen","Prism Secondary",0.7861447,0.935243,NA,NA,NA,NA,0.9423024,0.8687422,NA,0.9161087,NA,0.7939244,NA,NA,0.9161359,0.9946798,0.8689845,0.8532384,0.8798549,0.9236295,0.8954593,0.9019503,NA
"MOZAVAPTAN (BRD:BRD-A31095847-001-02-3)_sec","num","Drug Screen","Prism Secondary",0.838769,0.6526913,NA,0.8639441,0.8709887,0.9343211,NA,NA,0.8547133,0.9339559,0.9804046,0.9081052,NA,0.9392191,0.8662066,0.9214656,0.8626527,0.8073042,0.7840375,0.870004,0.8902021,0.9595785,0.9284451
"METHOCARBAMOL (BRD:BRD-A31521121-001-26-4)_sec","num","Drug Screen","Prism Secondary",0.9128841,0.937415,NA,NA,NA,NA,NA,0.9724814,NA,NA,NA,NA,NA,0.9987313,NA,0.9235867,NA,0.8939823,NA,NA,NA,0.9940753,NA
"HOMOSALATE (BRD:BRD-A34751532-001-06-9)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7387816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TENIPOSIDE (BRD:BRD-A35588707-001-05-5)_sec","num","Drug Screen","Prism Secondary",0.5304458,0.5186288,0.4250676,0.5847989,0.5917146,0.5794667,0.5306352,0.622317,0.605636,0.5703016,0.4510395,0.6995232,0.7156907,0.605151,0.7283787,0.6743024,0.5874488,0.6623122,0.5836129,0.6391979,0.3806169,0.5945279,NA
"BRUCEANTIN (BRD:BRD-A36057565-001-01-0)_sec","num","Drug Screen","Prism Secondary",0.4189134,0.4668342,0.4459732,0.5970948,0.4385724,0.5526812,0.5678479,0.5831603,0.529872,0.4496681,0.4402392,0.620728,0.6457768,0.4656093,0.6243675,0.6156668,0.4139048,0.5982564,0.5706354,0.5659862,0.4200371,0.6417505,0.4217712
"BUPHENINE (BRD:BRD-A36267905-003-18-4)_sec","num","Drug Screen","Prism Secondary",0.8902954,0.8939744,0.9728325,0.9566372,0.9603062,NA,NA,NA,NA,NA,NA,0.8590732,0.9127644,0.9024142,0.9944805,NA,NA,0.8420985,NA,NA,0.8307829,NA,NA
"OPROZOMIB (BRD:BRD-A36331462-001-02-1)_sec","num","Drug Screen","Prism Secondary",0.5013203,NA,NA,0.7525746,0.438507,0.5479876,0.578253,0.6154331,0.5481271,0.5818089,0.516029,0.533882,NA,0.6400361,0.6005355,0.5447984,0.4187116,0.4869921,0.5500511,0.5491473,0.3932575,0.5514572,NA
"COLISTIN-B-SULFATE (BRD:BRD-A36456202-001-01-3)_sec","num","Drug Screen","Prism Secondary",NA,NA,0.8578721,NA,NA,NA,NA,NA,NA,NA,NA,0.9605731,0.9575841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KETOCONAZOLE (BRD:BRD-A38350138-001-04-9)_sec","num","Drug Screen","Prism Secondary",0.9607998,0.9296132,NA,0.9540529,0.8839062,0.9746482,NA,0.9407405,NA,0.9585345,0.8546056,0.9864114,NA,NA,0.7012108,0.9099287,NA,0.7867344,0.9269978,0.9674321,NA,0.723399,NA
"RABEPRAZOLE (BRD:BRD-A39390670-236-10-7)_sec","num","Drug Screen","Prism Secondary",0.9031115,0.9122734,NA,0.9331214,0.9213412,NA,NA,0.9340892,NA,NA,0.9417328,NA,NA,0.987712,NA,0.7676827,NA,0.8293273,NA,NA,NA,0.8927221,NA
"TEROXIRONE (BRD:BRD-A39935389-001-05-9)_sec","num","Drug Screen","Prism Secondary",0.7669618,0.8660768,0.8187988,0.9638227,0.8572348,NA,0.7921139,0.8284623,0.7696971,NA,0.7922941,0.7968047,0.9125938,0.7860928,0.6011334,0.7416917,0.812774,0.7593213,0.8195101,0.8475779,0.705893,0.8315686,NA
"PRACTOLOL (BRD:BRD-A41304429-001-14-8)_sec","num","Drug Screen","Prism Secondary",0.8876187,0.7462459,NA,0.7627542,0.9810284,0.8180518,NA,0.8882734,NA,0.8943873,0.8746089,0.8478024,NA,0.9134529,0.9346517,0.9135077,NA,0.6440765,0.821734,0.8418705,0.8162073,0.796687,NA
"TERIFLUNOMIDE (BRD:BRD-A42699921-001-03-6)_sec","num","Drug Screen","Prism Secondary",0.8733368,0.7715792,0.6516092,NA,0.7532844,0.8571435,0.8356684,0.8125884,NA,NA,0.8119828,0.7434091,NA,0.8587874,0.8985677,0.786111,0.8545915,0.8163353,0.8660475,0.8387355,0.8714819,0.945031,0.9414968
"MELENGESTROL-ACETATE (BRD:BRD-A42746051-001-02-9)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,0.8460163,0.8124238,NA,NA,0.9176636,0.8749116,NA,NA,NA,NA,NA,NA,NA,0.957487,NA,NA,0.8608121,0.9268805
"LINALOOL (BRD:BRD-A43082461-001-06-3)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9827715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OXPRENOLOL (BRD:BRD-A43671941-003-11-9)_sec","num","Drug Screen","Prism Secondary",0.9538516,0.8544709,0.851988,0.9266818,0.9624663,0.9793889,0.9055843,0.8736724,NA,0.8903936,0.8780208,0.9813509,NA,0.8767223,0.8887027,0.8907675,0.9165203,NA,0.9134478,0.889121,0.8388288,0.881957,NA
"CLOBUTINOL (BRD:BRD-A43809092-003-02-1)_sec","num","Drug Screen","Prism Secondary",NA,NA,0.7590809,NA,NA,NA,0.9623878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SID-7969543 (BRD:BRD-A43885598-001-08-1)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,0.9767413,0.9558996,NA,NA,0.9592054,0.9014722,0.9486929,NA,NA,0.9306231,0.9371777,0.9721197,0.978344,0.8833482,0.968008,0.9458535,0.9288204,0.9437761,NA
"INDOPROFEN (BRD:BRD-A44090213-001-25-6)_sec","num","Drug Screen","Prism Secondary",0.6805259,0.7823216,0.8007874,0.8374382,0.8235803,0.8585529,0.7942279,NA,NA,NA,0.798275,0.8072988,0.8219794,0.8330692,0.8401108,0.8552959,0.7684922,0.7576429,0.8063655,0.8390826,0.7497848,0.8328495,0.7606485
"FLI-06 (BRD:BRD-A44500574-001-01-8)_sec","num","Drug Screen","Prism Secondary",0.7639189,0.8728462,0.8507274,0.9041841,0.7966437,0.896748,0.9014876,NA,NA,0.8806091,NA,0.8459621,0.8750707,0.8910865,NA,NA,NA,0.8575296,0.9458869,0.9125003,0.8605838,0.9405611,NA
"WYE-125132 (BRD:BRD-A45498368-001-07-1)_sec","num","Drug Screen","Prism Secondary",0.5192004,0.7302598,0.8054966,0.7947685,0.703678,0.7351769,0.7170496,0.6475195,0.5317447,0.8143763,0.7486811,0.6213971,0.7079483,0.7642527,0.7658695,0.5503013,0.8295362,0.6069855,0.5775994,0.6735381,0.6587828,0.7483585,NA
"IODODEXETIMIDE (BRD:BRD-A46813902-001-01-6)_sec","num","Drug Screen","Prism Secondary",0.9525933,NA,0.9088858,NA,NA,NA,NA,NA,NA,NA,NA,0.848764,NA,NA,NA,NA,NA,NA,NA,NA,0.8693614,0.9778311,NA
