"Feature","Data_Type","Category","Sub_Category","ACH-000001","ACH-000048","ACH-000091","ACH-000116","ACH-000123","ACH-000132","ACH-000237","ACH-000256","ACH-000278","ACH-000291","ACH-000324","ACH-000430","ACH-000443","ACH-000524","ACH-000527","ACH-000542","ACH-000608","ACH-000617","ACH-000657","ACH-000663","ACH-000688","ACH-000696","ACH-000701","ACH-000704","ACH-000713","ACH-000719","ACH-000796","ACH-000811","ACH-000885","ACH-000906","ACH-000947","ACH-001374","ACH-001628"
"W-54011 (BRD:BRD-A00559310-003-01-1)_pri","num","Drug Screen","Prism Primary AUC",-0.61891323,0.09707343,0.115018,NA,-1.02662396,0.24374612,-0.35462128,-1.05765466,-0.39838422,NA,-0.13058682,-0.21040855,1.04323609,-0.29840558,-0.29831892,-0.8280941,-0.68369392,NA,-0.4570276,-0.08112221,0.82650599,-0.40800044,0.04819406,-0.07385778,-0.47843044,-0.33841276,-0.07498773,-0.00235828,0.1898523,-0.40105419,-0.44788736,0.97409972,-0.3241724
"ZALTOPROFEN (BRD:BRD-A00578795-001-04-3)_pri","num","Drug Screen","Prism Primary AUC",0.46715815,-0.48427331,-0.35965547,-0.08496992,0.19422231,-0.70169018,0.07940911,-1.05044279,-0.86585753,-0.64537616,-0.6266724,-0.2822808,0.38550538,0.05027646,-0.93915962,-0.91920433,1.31168613,0.09072777,-0.82728269,-0.55515271,-1.13240188,-0.01680666,-0.77574268,0.1367674,-0.09769981,-0.96201463,0.07020634,-0.31927629,0.05979743,-1.1661024,0.14537578,NA,NA
"NORETYNODREL (BRD:BRD-A00758722-001-04-9)_pri","num","Drug Screen","Prism Primary AUC",-0.7363058,-1.0153209,-0.8336852,-0.3733961,-1.1286441,-1.1774962,NA,-0.9224112,-1.448838,-1.1523655,-0.4051284,-0.4629582,-0.5277571,-2.463813,-1.2112413,-1.2160824,-0.1936049,-0.2546175,-2.1792155,-1.6552797,-0.7925185,-0.9379799,-0.850691,-0.7265407,-0.1987032,-1.3976672,-1.0684443,-0.1653854,-1.1589837,NA,-0.6214246,NA,NA
"DYPHYLLINE (BRD:BRD-A00827783-001-24-6)_pri","num","Drug Screen","Prism Primary AUC",0.644137186,0.284352693,0.373237228,0.647324734,-0.072378261,0.268713502,0.383686486,0.612070421,0.206110083,-0.644837881,-0.001986147,-0.101064327,0.488257617,0.4039512,-0.003205912,0.282229846,-0.321019167,0.236419205,-0.061820306,0.324395521,0.31799757,0.153461558,0.281087698,-0.469318894,0.313635102,-0.0261093,0.377689471,0.097656458,0.224926405,0.120140014,-0.045999103,NA,NA
"OLEUROPEIN (BRD:BRD-A00842753-001-01-9)_pri","num","Drug Screen","Prism Primary AUC",0.48219207,0.03250213,-0.08636188,0.21738907,-0.18522354,-0.2415051,-0.15411081,0.32431943,0.36463431,0.20145841,0.6061114,-0.47534214,NA,-0.18890211,-0.11442305,NA,0.31745797,NA,-0.02064899,0.10029529,-0.03365801,0.20187489,0.0119305,0.15265659,0.29944934,-0.05223134,0.40710169,0.59778901,0.28092681,-0.05948553,0.18933967,NA,NA
"ALPRENOLOL (BRD:BRD-A00993607-003-24-6)_pri","num","Drug Screen","Prism Primary AUC",-0.37112595,0.25255127,0.48483784,0.22487341,0.55382213,-0.15949935,0.66729852,0.01491082,0.04713553,0.28050715,-0.25381965,0.32752884,0.19185239,0.47169277,-0.0444385,-0.39152116,-0.18573966,0.10780998,-0.0353762,0.02148151,-0.12183087,0.10286696,0.14434101,-0.02671244,0.32240031,0.17802459,0.81863026,0.31824092,0.19795608,-0.02506946,-0.15002492,NA,NA
"AZELNIDIPINE (BRD:BRD-A01098288-001-02-9)_pri","num","Drug Screen","Prism Primary AUC",0.425098388,-0.113907679,-0.277643669,-0.517485036,-0.096470815,-0.230254127,0.451800143,-0.033236599,0.051001348,0.291081594,-0.062910973,0.035554371,0.527177423,-0.528332353,0.067130171,-0.215056767,-0.393913399,-0.366035511,0.162368545,-0.356225611,0.493914099,-0.002251893,-0.263907085,-0.588287594,0.479239543,-0.829219688,0.101364228,-0.086570379,0.085783667,-0.059931529,0.312030314,NA,NA
"AMG-487-(+/-) (BRD:BRD-A01307728-001-01-4)_pri","num","Drug Screen","Prism Primary AUC",NA,0.38567345,-0.19321916,NA,0.42871368,0.17002141,0.13330413,NA,0.47745747,NA,0.60561118,NA,NA,-0.07204517,0.24734806,0.5304069,NA,NA,0.26720946,0.02986005,NA,0.04130885,0.27448109,0.2591795,0.87969559,-0.13700885,0.02757774,0.27103504,0.1470422,0.26195044,0.16234136,NA,NA
"HYDROXYPROPYL-BETA-CYCLODEXTRIN (BRD:BRD-A01412266-001-01-0)_pri","num","Drug Screen","Prism Primary AUC",NA,-0.17174831,0.08539829,0.20577761,-0.56751604,-0.54579367,-0.14427522,0.27258307,-0.14790397,-0.58433076,0.14712177,0.09623242,NA,-0.46586902,-0.03499103,-0.13300705,0.54661804,-0.17920575,-0.10311276,-0.14149538,-0.66711804,0.10368534,0.30876045,-0.88974699,0.28627139,-0.52834679,0.79464818,-0.02350759,0.19605901,0.01736254,0.30811343,NA,NA
"WB-4101 (BRD:BRD-A01493904-003-12-1)_pri","num","Drug Screen","Prism Primary AUC",0.28702564,-0.10219986,-0.13714169,-0.04014684,-0.78046713,0.08073499,-0.35855784,-0.25499385,-0.76804939,-0.17601088,-0.18054133,-0.56873962,0.18042286,-0.25771389,0.25318875,-0.5899694,0.17415497,-0.25179585,-0.45093184,-0.09228311,-0.27418959,-0.09816757,0.04720056,-0.0286451,-0.57272727,0.02366299,-0.14257705,0.20189161,NA,NA,-0.15921162,NA,NA
"CLEVIPREX (BRD:BRD-A01563671-001-02-7)_pri","num","Drug Screen","Prism Primary AUC",0.41046898,0.14508899,0.50174152,0.10725415,0.24987995,0.60982478,0.09610666,0.45532905,0.21350996,0.74696801,-0.11799289,1.20765781,-0.24064345,0.49082724,0.22277783,0.41842335,-0.03334545,0.1747009,0.1297795,0.2750632,-0.06737375,0.14717473,0.3646807,0.30219897,0.18789898,-0.05195249,0.69035116,0.01818888,0.28427904,-0.07493897,0.0384419,NA,NA
"CHLORMADINONE-ACETATE (BRD:BRD-A01593789-001-03-1)_pri","num","Drug Screen","Prism Primary AUC",0.40499351,-0.95397546,0.60545357,-0.29711089,-0.50952561,0.09298762,0.17100945,-0.10536839,-0.16003987,-0.29105268,-0.98185183,0.20076899,-0.08341885,-0.02682895,0.21491692,-0.01086951,-0.33879304,0.37730069,-0.20241527,0.29492394,0.17655318,0.13953705,0.51259845,0.4546952,0.49331853,-0.42393635,0.05503409,-0.38040819,0.14144711,-0.24109213,-0.09157144,NA,NA
"BUPIVACAINE (BRD:BRD-A01636364-003-15-1)_pri","num","Drug Screen","Prism Primary AUC",0.70234686,-0.01118167,-0.05094811,0.39714752,0.25281742,-0.36819175,0.60046886,0.10396742,0.25694297,1.69405511,0.01011492,0.57165084,0.33828319,-0.65376084,-0.26126947,0.05158677,0.24854168,-0.32072,0.03771103,0.14111113,-0.06255957,-0.13884605,0.764659,0.78349891,0.82177984,-0.12850246,0.31853027,-0.0687092,0.13874043,-0.04184243,0.18636195,NA,NA
"PREDNISOLONE-ACETATE (BRD:BRD-A01643550-001-04-9)_pri","num","Drug Screen","Prism Primary AUC",-0.648735026,-2.021387508,-0.597916896,-0.589434092,-1.940136974,-0.091008152,NA,0.211064839,-1.576977438,0.136413921,-1.293193755,-1.614584055,1.201905061,-0.466880082,-0.298306521,0.662945774,-0.196009468,0.057552273,-2.099453323,-0.047675857,1.354887105,-0.436546648,-0.006684824,0.00084162,-0.312083082,0.055704075,-0.494746833,-0.448530281,-2.954571639,NA,-2.172357038,NA,NA
"NAFTOPIDIL (BRD:BRD-A01787639-003-16-9)_pri","num","Drug Screen","Prism Primary AUC",0.53715677,0.22726221,0.69291508,0.29890791,-0.31178347,0.43450795,-0.14556676,0.20387891,0.19471674,-0.5592011,-0.73307661,-0.10514464,0.48075071,-0.57726237,-0.06722403,0.22086946,0.0895077,0.28677201,-0.39186241,-0.343253,0.42222225,-0.05489475,-0.65329147,1.76586966,0.23771067,-0.38992235,0.43049821,0.24925797,0.08080147,-0.10641793,-0.21250861,NA,NA
"FK-33-824 (BRD:BRD-A01907367-001-01-7)_pri","num","Drug Screen","Prism Primary AUC",-0.05192295,-0.13305963,-0.27700099,-0.07346083,0.47368542,-0.78246427,-0.61191913,-0.37984475,-0.30997757,-0.79844989,-0.091114,-0.37542543,0.01929763,0.10223801,-0.43341802,-0.32307719,-0.04981304,0.23471446,0.40016685,-0.23701751,-0.31437027,-0.12394777,-0.47474557,-0.29528502,-0.11650768,0.2932686,-0.42672002,-0.19976392,-0.10916865,-0.10497986,0.12896517,NA,NA
"NITRENDIPINE (BRD:BRD-A02006392-001-16-4)_pri","num","Drug Screen","Prism Primary AUC",-0.46311144,-0.41129067,-0.40539829,0.18884701,-0.76237639,0.33726331,-0.24507625,0.01389592,0.1120572,0.11395616,-0.42500296,0.39107025,-0.44875429,0.26420595,0.72723077,-0.71040913,-0.548565,0.37998455,0.34269426,-0.34442282,0.56564386,-0.36017273,-0.06410813,-0.2196988,-0.27465788,-0.03427127,0.3639953,-0.02421255,-0.91412848,-0.30387548,-0.23883009,NA,NA
"BETAMETHASONE (BRD:BRD-A02180903-001-04-5)_pri","num","Drug Screen","Prism Primary AUC",0.21347086,0.23131968,0.88221521,0.13546015,-0.46788712,-0.11521808,0.72023074,0.63424029,-0.47324461,-0.49892315,-0.30418172,1.39686219,-0.01277237,0.15079368,0.03559834,0.79497006,0.24783566,0.2803163,-0.29654118,0.31308886,0.93489265,0.32122178,0.41343493,0.70069644,0.96812041,0.28799302,0.51562586,-0.20229046,0.49604171,-0.28555166,0.02537678,NA,NA
"ISOLEUCINE (BRD:BRD-A02232681-001-01-8)_pri","num","Drug Screen","Prism Primary AUC",0.037886033,0.224885805,0.105030737,0.590907725,-0.205727115,-0.180426399,-0.164357743,0.057907865,0.130706748,-0.464648598,-0.04283202,0.058961563,-0.113570558,0.08306366,-0.070974671,-0.105924472,0.250668181,NA,-0.470218353,-0.19969666,0.027118815,0.230903496,-0.118141742,-0.540882795,0.125279917,-0.158209686,0.099417958,-0.007959769,-0.368181568,-0.033199909,-0.145457053,NA,NA
"CEVIPABULIN (BRD:BRD-A02473266-001-01-1)_pri","num","Drug Screen","Prism Primary AUC",NA,-3.7599198,-3.3388269,NA,-3.5175558,-1.8936277,-4.2649791,NA,-2.6248048,NA,-0.589288,NA,NA,-0.512914,-1.7019929,-2.2656987,NA,NA,-4.2794605,-2.4207258,NA,-4.1526793,-1.2952295,-1.7084431,-5.2420332,-0.9795186,-2.8702661,-3.8370265,-2.982142,-4.5180099,-3.4688652,NA,NA
"TALOPRAM (BRD:BRD-A02532772-003-01-7)_pri","num","Drug Screen","Prism Primary AUC",NA,-0.037366307,-0.059792322,NA,-0.386048564,-0.110680625,0.15145084,NA,0.209009174,NA,-0.247745137,NA,NA,-0.636494013,-0.047337195,0.185582998,NA,NA,0.038802293,-0.155359213,NA,0.19932585,0.072155364,-0.190110552,-0.000380297,-0.006101404,-0.295178619,0.074260923,0.226216088,-0.029912887,-0.411427317,NA,NA
"MEPTAZINOL (BRD:BRD-A02710418-003-11-8)_pri","num","Drug Screen","Prism Primary AUC",0.51364908,-0.48858377,-0.4059828,0.06138728,-0.77149781,-0.61763385,-0.26533933,-0.91812545,-0.73242548,-1.13243661,-0.23470213,-0.25922886,-0.75650657,-0.10524842,-0.27731223,-0.23163974,0.12759257,0.29408769,-0.34986013,-0.47038258,-0.61876586,-0.45437883,-0.1439115,-0.17439335,0.69723008,-0.64614006,-0.46896348,-0.12255012,-0.15582456,-0.30726319,-0.25632225,NA,NA
"CILNIDIPINE (BRD:BRD-A02743701-001-03-6)_pri","num","Drug Screen","Prism Primary AUC",0.56161176,0.35366811,0.28362074,-0.29081992,-0.12195391,0.26735443,-0.06179266,0.2870861,-0.15961801,0.41390498,-0.23410593,-0.36707809,0.39072004,-0.29178593,0.17157882,0.24228004,0.12805299,0.22619875,-0.14262974,-0.01111874,-0.32904339,0.32123339,0.35156404,-0.27835476,0.40046262,0.01137825,-0.25189344,0.22161084,0.30088202,0.11540789,-0.0767737,NA,NA
"BETAXOLOL (BRD:BRD-A02759312-003-24-5)_pri","num","Drug Screen","Prism Primary AUC",0.09244739,0.45567322,0.12534143,0.47307991,0.40276427,0.08036341,0.60647146,0.14586368,0.2685037,0.68326668,-0.39045777,0.56380132,0.08602277,0.73008692,0.4371801,0.24061175,0.69282057,0.70031732,-0.13477158,0.15450086,0.46499928,-0.06798945,0.52077976,0.09391718,0.08412862,0.82310863,0.34401146,0.45969724,NA,NA,0.02581954,NA,NA
"ISOTIQUIMIDE (BRD:BRD-A02933148-001-01-8)_pri","num","Drug Screen","Prism Primary AUC",NA,0.6798485,0.1432932,NA,-0.4332051,0.1616059,0.6923375,NA,0.1911968,NA,0.4716353,NA,NA,0.5565159,0.4336928,0.2579211,NA,NA,0.2469776,0.3000606,NA,0.5421272,0.4206948,-0.2149163,0.6234937,-0.1831363,0.3970812,0.3469051,0.4861778,0.3335492,0.3245253,NA,NA
"IBOTENIC-ACID (BRD:BRD-A02971356-001-09-9)_pri","num","Drug Screen","Prism Primary AUC",-0.09743841,0.47571418,0.86327792,NA,-0.93456852,-0.22784311,0.3781299,0.22575813,0.46815135,NA,0.58815223,0.31718364,-0.27633182,-0.1973108,-0.03447889,0.87810079,0.06585716,NA,0.43446744,-0.33414211,-0.64220449,0.21097111,-0.63110437,-0.02177437,-0.04558083,0.62598808,0.12215824,0.01639433,-0.14922299,0.62852335,0.11298102,-0.36917424,0.47780629
"LOFEXIDINE (BRD:BRD-A02990301-003-06-6)_pri","num","Drug Screen","Prism Primary AUC",-0.840919243,-0.538106448,0.188279295,-0.261528696,-0.66755258,-0.622308499,-0.516847355,-0.547335798,-0.696973401,-0.007664838,-0.660047612,-1.089868364,-0.475500468,-0.444831632,-0.782437085,-0.518654085,0.372647727,-0.390772993,-0.182928558,-0.807037979,-0.183873914,-0.460548837,-0.143383378,0.245267441,-0.214011586,-0.770400874,-0.990183308,-0.594701637,-0.250442453,-0.536402918,-0.303669777,NA,NA
"ALIZAPRIDE (BRD:BRD-A03061970-003-07-3)_pri","num","Drug Screen","Prism Primary AUC",0.60955619,0.10657402,-0.18861304,-0.33831061,0.42804324,-0.04946543,0.1521287,-0.14396987,-0.16866207,-0.3319614,0.24428289,0.2130902,-0.04522195,-0.08790123,-0.03878778,0.72571264,0.66645248,-0.16594866,-0.28191063,-0.23502422,-0.17201909,0.1685076,0.3063302,-0.28550066,-0.57217695,0.28152043,0.62573172,-0.28126052,-0.22984045,-0.20406829,-0.22828157,NA,NA
"PREGNANOLONE (BRD:BRD-A03204438-001-01-2)_pri","num","Drug Screen","Prism Primary AUC",NA,0.15209617,-0.1086843,NA,-0.07522166,0.20357859,-0.233304,NA,0.24342701,NA,0.03792573,NA,NA,0.50875801,-0.16279985,-0.31306357,NA,NA,0.09523186,0.1005993,NA,0.19087824,-0.03006914,-0.82829648,0.39079116,0.08128859,0.0384872,0.31076545,0.36085658,-0.09698311,0.31545302,NA,NA
"MEPIVACAINE (BRD:BRD-A03216249-003-24-3)_pri","num","Drug Screen","Prism Primary AUC",-1.4010188,-0.05748096,-0.13417363,-0.51521918,0.07918658,-1.53887742,-1.80507746,-0.81407283,-0.10660571,0.37497084,-0.03702412,-2.0095024,-1.08140435,-0.03507464,-0.70763924,0.65865816,-0.59101252,-0.42572852,-0.54986764,-0.13163115,0.06836048,-0.0065309,-0.26527874,0.42995751,-1.24321158,0.33577276,-0.72118896,-0.37554083,-1.84301603,-0.74243972,-0.79677184,NA,NA
"ICI-89406 (BRD:BRD-A03359064-001-02-3)_pri","num","Drug Screen","Prism Primary AUC",0.77421948,0.11791951,0.19938825,0.01993444,-0.2464371,0.51164271,0.0659972,0.24495633,0.76127481,0.79011142,0.12238725,-0.12756956,0.01926039,-0.07939789,0.48284484,-0.10615302,-0.49903129,0.06450363,0.34277821,0.08040704,-0.41334114,0.38405196,0.34646086,0.58115555,-0.46439579,0.14992851,0.43059051,0.26824185,0.1111718,0.17860115,0.31133677,NA,NA
"XL888 (BRD:BRD-A03506276-001-01-5)_pri","num","Drug Screen","Prism Primary AUC",-1.411322,-4.717869,-3.686146,-4.852609,-4.152059,-4.400552,-4.319035,-5.102921,-5.545275,-2.290898,-3.203049,-3.769191,-1.601275,-2.912266,-3.902474,-3.683309,-1.887167,-2.616261,-6.160037,-5.254394,-3.761459,-5.395062,-5.154907,-2.871499,-3.184358,-4.764088,-4.223971,-4.196518,-3.997202,-2.85656,-5.846642,NA,NA
"METOPROLOL (BRD:BRD-A03623303-045-09-5)_pri","num","Drug Screen","Prism Primary AUC",-0.13920908,-0.75245902,-0.83944588,-0.82792717,-1.16826891,-1.39324299,-1.14850291,-0.60338356,-1.73461375,0.01762751,-0.63488031,-0.50241537,-0.34166891,-0.81082766,-0.67264457,-0.95655567,-0.36291345,-0.56847359,-1.28277246,-1.35713881,-0.27546144,-0.18211533,-1.5548322,0.45040819,-1.24657763,-0.70457799,-0.12157258,-1.08018681,-1.02264266,-1.05635962,-1.19238127,NA,NA
"BISMUTH-SUBCITRATE-POTASSIUM (BRD:BRD-A03880619-001-01-0)_pri","num","Drug Screen","Prism Primary AUC",0.265537706,-0.145013366,0.331856679,-0.008339425,-0.188584204,-0.850886872,0.337006778,-0.233908521,0.297332056,0.223131765,0.267260905,0.695951683,-0.136260168,0.417034582,-0.018606062,0.216924262,0.273440055,0.847147089,0.298049939,0.243916233,-0.042372945,-0.104261464,0.319642321,0.012463268,0.762716675,0.080273553,0.169168969,-0.176833401,NA,NA,-0.280493057,NA,NA
"METHSCOPOLAMINE (BRD:BRD-A03932035-004-04-3)_pri","num","Drug Screen","Prism Primary AUC",0.64826117,-1.48965491,-0.5358598,0.06299712,-0.13573312,0.2864154,NA,-0.33365219,-0.19521026,-0.01386757,-0.38098803,0.23010683,0.24884816,-0.99626289,-0.36185129,-0.28898943,0.19716268,-0.36355385,-0.0582618,-0.40294149,0.18759332,-0.08143664,0.29553035,0.62711456,-0.11128107,-0.37723088,0.2046842,-0.51828349,-2.18736544,NA,-0.44181731,NA,NA
"PIRICAPIRON (BRD:BRD-A04203391-001-08-3)_pri","num","Drug Screen","Prism Primary AUC",-0.382505508,0.604572448,-0.10386821,0.090920798,-0.006582676,0.490074309,0.43513711,0.249781201,0.469530078,0.221488355,-0.707941465,0.580459576,-0.981822988,-0.226914668,0.161101601,0.320327339,0.004178619,-0.12333258,-0.256728975,-0.248371448,0.445620017,0.443077478,0.210594084,0.059702103,-0.121307009,0.649000282,0.139994061,0.18419417,0.071087608,-0.57715458,0.21520126,NA,NA
"EPERISONE (BRD:BRD-A04252265-003-01-4)_pri","num","Drug Screen","Prism Primary AUC",NA,0.59357266,0.20541514,-0.54464814,-0.8214162,0.18411194,-0.15753854,-0.04586708,-0.23407442,0.40833728,0.67004247,0.33772183,NA,-0.55282255,0.48188655,0.33008593,0.30579958,-0.31497954,-0.07727661,-0.20086073,-0.18860159,0.07204383,0.28675318,-0.11514226,0.44546513,0.1122054,-0.1826401,0.17471106,0.07790195,0.01009946,0.07162558,NA,NA
"ISOPRENALINE (BRD:BRD-A04322457-003-17-9)_pri","num","Drug Screen","Prism Primary AUC",0.05870914,-0.22576277,0.04777364,0.32813948,0.73435463,-0.32659914,0.50882679,0.08074643,0.1626209,0.43856718,0.58474727,0.50238145,0.97871743,0.27408942,0.80995614,-0.11637267,-0.07848038,0.18927132,0.09248555,-0.11711265,0.06665665,-0.02261684,-0.11755297,0.41696286,0.05318758,0.4050399,0.52565003,-0.16327817,-0.0790302,-0.39453141,0.23354748,NA,NA
"SYNEPHRINE (BRD:BRD-A04327189-001-15-1)_pri","num","Drug Screen","Prism Primary AUC",-0.329349535,0.335822941,0.169842926,-0.449711324,-0.667682948,0.472445748,0.007032713,-0.446219058,-0.108317869,1.003754446,0.129477337,0.165494877,0.327175165,-0.094667515,0.393697197,-0.398886576,-0.538388174,0.11753269,-0.16948357,-0.386037595,-0.14251198,-0.151461088,-0.089585844,-0.460560639,-0.360112962,0.398022038,0.269545141,-0.444927999,0.100152464,-0.18352977,0.253045233,NA,NA
"SYNEPHRINE (BRD:BRD-A04327189-003-03-3)_pri","num","Drug Screen","Prism Primary AUC",0.2275408,0.22128397,-0.84321467,0.36651512,-0.54762444,0.0791839,NA,0.03817503,-0.31251413,0.88946439,-0.44252784,0.45997654,0.26057621,-0.10878373,0.05148654,0.29327318,-0.15222183,0.42776666,0.41137594,-0.12553268,-0.07093904,-0.42176672,-0.47617564,-0.01086207,-0.12321729,0.06333146,-0.41044349,0.12783388,-0.01256899,NA,0.13480614,NA,NA
"MARAVIROC (BRD:BRD-A04352665-001-05-3)_pri","num","Drug Screen","Prism Primary AUC",0.212912446,0.013689963,-1.108927824,1.211735155,0.404735318,-0.036928672,NA,0.25086835,0.68191082,0.048028794,0.208304012,0.5306644,0.366668338,-0.375500468,0.663984888,-0.26790857,-0.058492256,0.156434373,-0.004519767,0.276213934,0.428318109,0.233471945,0.620117131,0.171036303,-0.298838944,0.006252016,0.997813015,0.360850551,0.39409673,NA,0.253439489,NA,NA
"GEPEFRINE (BRD:BRD-A04447196-001-01-8)_pri","num","Drug Screen","Prism Primary AUC",0.30064249,0.69813053,-0.59528208,-0.26277652,-0.22855736,-0.10853908,0.10095609,-0.01394727,-0.07805621,-0.50518807,-0.18868357,-0.36693152,0.05514334,0.13486838,-0.65464227,0.85429809,0.22702654,NA,0.15205604,-0.12791337,0.05418385,-0.0302481,-0.08468014,-0.08595664,0.42956578,-0.07786301,0.24611273,-0.11230517,-0.13327402,-0.25787354,0.50224871,NA,NA
