depmap_id,Data_Type,Category,Sub_Category,ACH-000713,ACH-000278,ACH-000430,ACH-000617,ACH-000574,ACH-000542,ACH-000132,ACH-000001,ACH-000091,ACH-000409,ACH-000701,ACH-000291,ACH-000657,ACH-000524,ACH-000696
INPPL1 sp|O15357|SHIP2_HUMAN'],num,Molecular,Proteomics,0.327760862,0.639142678,0.274365965,0.271962247,0.247627166,-0.17723704,0.967895737,-0.481363257,-0.27823057,-0.202302946,0.458511731,-0.115544517,1.092513455,-0.541702116,0.540105902
U2SURP sp|O15042|SR140_HUMAN'],num,Molecular,Proteomics,0.277106551,-0.200810648,-0.061940307,0.006770147,-0.033601447,-0.133156618,-0.507542083,-0.000329791,-0.02389688,0.897028171,-0.189439717,-0.157193029,0.293923409,0.593490633,-0.616073897
TLL1 sp|O43897|TLL1_HUMAN'],num,Molecular,Proteomics,,,,,-1.246286899,,,,,,,,,,
ARID1A sp|O14497|ARI1A_HUMAN'],num,Molecular,Proteomics,0.097190823,-0.098249708,-1.331109411,-0.070279499,1.173906309,-0.509560332,-0.459227232,0.332607635,-2.33028948,0.033643889,-0.399285948,-0.165835898,-1.843153791,1.263210134,-0.077848857
FANCG sp|O15287|FANCG_HUMAN'],num,Molecular,Proteomics,,,,,1.378646792,-1.386006335,,,,,-0.415799461,,0.154215036,,
SEMA7A sp|O75326|SEM7A_HUMAN'],num,Molecular,Proteomics,0.7004633,,,,-1.233677811,2.421180359,0.992427599,-0.645051498,-0.862074164,0.783500301,-0.249690215,,-1.276456699,0.178985883,1.296648879
SPTLC1 sp|O15269|SPTC1_HUMAN'],num,Molecular,Proteomics,0.133509929,-0.089865791,-0.213384759,-0.52526007,-0.413864275,0.036401696,0.430412637,0.244495104,0.597985061,-0.41024262,0.291261582,0.539358389,-0.472345166,-0.205383069,-0.311053172
SH2B2 sp|O14492|SH2B2_HUMAN'],num,Molecular,Proteomics,,,,,,0.072562792,,,-1.158048922,0.000119028,,,0.016546708,,-0.346054955
MYO1B sp|O43795-2|MYO1B_HUMAN'],num,Molecular,Proteomics,-0.809100994,0.916856803,-2.068413381,-0.426200292,-1.942697699,1.10738774,-0.092797948,-0.670683849,1.007512983,-1.18967496,0.593060534,0.813726951,-1.955242115,-0.033176007,-0.204727505
MYO1F sp|O00160|MYO1F_HUMAN'],num,Molecular,Proteomics,0.453168835,,-0.178234096,,0.36332064,-1.158566752,-0.767638611,-0.876883341,-1.630385234,,-0.47079576,,,,-0.834660192
MYO1G sp|B0I1T2|MYO1G_HUMAN'],num,Molecular,Proteomics,,-0.51622698,-0.145276469,-0.578800437,-1.638907961,-1.034673338,-0.8137859,-1.17837233,-0.675969014,-1.253463638,-0.263107938,0.613280444,-2.169302952,-0.581701866,-0.870677742
MYH7B sp|A7E2Y1|MYH7B_HUMAN'],num,Molecular,Proteomics,,,,,,-0.049257899,1.219341902,-0.292926851,-0.001216661,-1.154006303,,,,,0.307097401
None sp|H7BZ55|CROL3_HUMAN'],num,Molecular,Proteomics,,-0.098236767,,0.05209603,-0.434816989,0.064295932,,,,,,,0.369884009,-0.75824862,0.969895132
MYO1C sp|O00159|MYO1C_HUMAN'],num,Molecular,Proteomics,0.182848029,-0.009533116,0.077628826,-0.105898123,-0.929575533,0.708272174,1.091527292,0.434817473,1.812026641,0.446060012,0.147745176,0.47686291,-0.454810502,0.204198629,0.952861181
EXOC5 sp|O00471|EXOC5_HUMAN'],num,Molecular,Proteomics,0.09285767,-0.683166574,-0.153467157,-0.618825624,-0.412193177,0.459157763,0.746408177,-0.644831525,0.194616706,-0.480089707,0.890004939,0.504500452,-0.189683293,-1.162868562,0.227221561
BRD4 sp|O60885|BRD4_HUMAN'],num,Molecular,Proteomics,0.014392155,0.071871337,-0.323797024,-0.027809759,0.520919904,-0.525261996,-0.603595589,0.238258798,-0.741860325,1.469720439,-0.462816831,-1.301660508,0.329371842,0.772326926,-0.119278691
CTNND1 sp|O60716-4|CTND1_HUMAN'],num,Molecular,Proteomics,0.363327316,0.228546032,-0.244970232,0.526271959,0.164039035,0.924156837,0.668636256,1.696653186,0.034420866,0.749150315,1.145819132,1.70179421,-1.392856768,0.36214195,0.277173909
CTNND1 sp|O60716-3|CTND1_HUMAN'],num,Molecular,Proteomics,0.043510615,0.074478064,-0.044445076,0.890785229,0.120341686,1.843785647,0.571585226,1.872425222,0.53759178,0.752797671,1.498592582,1.707203503,-1.488151995,0.037638557,0.340987643
CNOT1 sp|A5YKK6|CNOT1_HUMAN'],num,Molecular,Proteomics,-0.176504618,-0.48696047,0.2269439,-0.074629659,-0.665786373,0.219406986,0.11143375,-1.032068833,0.272623168,-0.494740768,0.334553555,0.436316349,0.569062151,-0.53267384,-0.208984789
BTAF1 sp|O14981|BTAF1_HUMAN'],num,Molecular,Proteomics,0.118010859,-0.032083429,-0.09408019,0.234944826,-0.372203437,-0.021527409,-0.37290802,0.016498628,0.247240283,0.147586473,-0.269258202,-0.040526072,0.966525043,-0.129321419,-0.167959986
TCERG1 sp|O14776|TCRG1_HUMAN'],num,Molecular,Proteomics,-0.021995961,0.044843173,0.184947328,0.440954973,0.438273538,-0.40306888,-0.423329456,0.152871561,0.190288867,0.917804629,-0.071312065,0.044781573,0.614931178,0.793454087,-0.032856632
RBMY1B sp|A6NDE4|RBY1B_HUMAN'],num,Molecular,Proteomics,-0.213050116,-0.426087733,,,0.792293808,-0.019022335,-0.787987588,0.43529505,0.655449869,0.062576518,0.034040244,0.191375569,-0.382826807,,-0.57078543
POTEF sp|A5A3E0|POTEF_HUMAN'],num,Molecular,Proteomics,0.531352039,0.17597734,0.062791981,0.840374303,0.098441584,-0.266197162,0.117141791,-0.227150242,0.472151514,0.026272503,0.138419724,0.622780554,0.015140906,0.62405383,0.059672112
CAND2 sp|O75155|CAND2_HUMAN'],num,Molecular,Proteomics,0.498070331,0.354077547,-0.153589802,0.340505971,-1.084470803,0.497736068,0.71120172,-0.704532047,0.514487159,-0.556369408,0.045328985,0.589953014,0.616147317,-0.461190939,-0.638539647
IDH3B sp|O43837|IDH3B_HUMAN'],num,Molecular,Proteomics,0.83086454,-0.207350838,-0.051185482,-0.327942967,-0.350711886,-0.762316778,-0.642646053,-0.133476174,0.849574693,0.567745448,0.432499489,1.227269714,-0.71530272,-0.401313775,-0.42670293
TMCC2 sp|O75069|TMCC2_HUMAN'],num,Molecular,Proteomics,,,,1.140196009,,,,,0.052855253,1.711448032,,-0.168536181,,0.272175557,
AGRN sp|O00468-6|AGRIN_HUMAN'],num,Molecular,Proteomics,0.628193087,0.468100533,0.018914905,0.844908826,1.479530011,-0.144892441,1.714868808,2.518543331,0.739516137,1.88172831,0.79076165,0.56180477,-1.112745324,2.503282962,-0.176474133
PDHX sp|O00330|ODPX_HUMAN'],num,Molecular,Proteomics,-0.411998987,-0.010328332,-0.28567729,-0.301394666,0.243494934,0.544718155,-0.232897911,0.339343034,0.188039086,-0.011813224,0.15907759,1.390206497,-0.081849319,0.770293993,0.400363434
CEP290 sp|O15078|CE290_HUMAN'],num,Molecular,Proteomics,0.289116499,0.483970141,0.309489095,-0.333494857,0.156273882,0.008512856,0.271436613,0.341928574,0.024075331,0.328933183,-0.167887647,0.28155691,-0.278300183,-0.598356035,0.284718439
KIF1B sp|O60333-2|KIF1B_HUMAN'],num,Molecular,Proteomics,-0.577173157,-0.126357853,0.235590354,-1.194400183,0.475522107,0.220585235,0.183719484,0.127858426,-0.322542512,-0.733953695,-0.42135367,0.07360951,0.141584549,-0.424477781,0.695540161
KIF1B sp|O60333-3|KIF1B_HUMAN'],num,Molecular,Proteomics,-0.33444956,0.466264827,0.239899161,,,,0.118555264,0.340699568,0.161955159,,-0.44686275,-0.313902461,0.256379872,0.960293831,1.102680053
KIF1C sp|O43896|KIF1C_HUMAN'],num,Molecular,Proteomics,-0.165368482,-1.051031669,0.269913649,-0.074605971,-0.264668867,0.863326577,-0.331167051,-0.794844591,0.554247466,-0.280501236,-0.322237693,-0.031611615,0.163231776,0.009424585,0.890987504
KIF3B sp|O15066|KIF3B_HUMAN'],num,Molecular,Proteomics,0.445291129,-1.106119345,0.568549701,0.195782732,0.332897634,0.212276813,0.167434443,-0.121707475,0.10173659,-0.532361184,-0.032406403,-0.070542143,0.244811235,-1.048066204,0.468490649
KIF3C sp|O14782|KIF3C_HUMAN'],num,Molecular,Proteomics,0.415631702,-0.691782168,0.479976801,0.609328992,0.174784484,0.099607779,0.090718711,-0.279428145,0.223733539,-0.185733657,-0.057874314,0.040207433,-0.119771777,1.828801628,0.759671309
SCAMP1 sp|O15126|SCAM1_HUMAN'],num,Molecular,Proteomics,-0.363575702,-0.507284893,-0.061533922,0.063714343,0.091881299,0.236989686,-0.211477383,0.02819174,0.613007679,-0.904217843,-0.025455191,-1.260999095,-0.73238919,0.015936485,0.221619981
CCDC69 sp|A6NI79|CCD69_HUMAN'],num,Molecular,Proteomics,,,,,,,,,,-1.282141348,,4.021508768,,,
None sp|A6NL28|TPM3L_HUMAN'],num,Molecular,Proteomics,0.683400848,0.844495034,0.361595702,0.856195077,-0.447602021,0.465990078,0.346592509,-0.86432914,-0.33941196,-0.947148636,0.151523735,0.482167443,0.670740766,-0.143592847,0.423725456
SNX2 sp|O60749|SNX2_HUMAN'],num,Molecular,Proteomics,0.140798196,-0.722875237,0.404879441,0.24773815,-0.100121158,0.57161047,0.254283184,-0.993582395,-0.184089833,-0.77957007,0.32846523,-0.028420269,0.675313413,-1.069701256,0.762700296
CLCA1 sp|A8K7I4|CLCA1_HUMAN'],num,Molecular,Proteomics,,,,,,,,,,,,5.755466327,,,
PIK3C2A sp|O00443|P3C2A_HUMAN'],num,Molecular,Proteomics,-0.196489177,-0.351334415,0.460621026,-0.159162243,0.311904734,-0.032326392,0.443173427,0.579866225,0.191137263,0.112840497,0.355611627,0.071001399,0.40984377,-0.349081827,-0.320153794
CBX4 sp|O00257|CBX4_HUMAN'],num,Molecular,Proteomics,-0.431174626,-0.353887284,-0.405292106,-0.102088298,-0.638122065,-1.302549046,-0.250668865,-0.431799761,-0.29428282,1.18971261,-0.310452162,0.360573639,0.882666057,-0.2261751,-0.671868754
NCKAP5 sp|O14513|NCKP5_HUMAN'],num,Molecular,Proteomics,,0.30020896,,0.638572891,0.334098316,0.33877125,0.171120505,-0.984793948,,,-1.342392537,-0.886904106,,,
DNAJC6 sp|O75061-2|AUXI_HUMAN'],num,Molecular,Proteomics,0.189612716,-0.438547488,,0.850588537,-0.634258581,-1.047625183,-0.722903179,0.032168206,0.02340089,-0.245856568,0.7730977,-1.007591366,-2.444568145,-0.642775425,2.859537644
PRPF3 sp|O43395|PRPF3_HUMAN'],num,Molecular,Proteomics,-0.163751442,0.438781157,-0.093007387,-0.441562741,0.027228093,-0.005757454,0.13607337,0.530563114,-0.083368936,0.900132091,-0.309913018,-0.231034581,0.28377378,0.2289661,-0.349751993
PHF2 sp|O75151|PHF2_HUMAN'],num,Molecular,Proteomics,-0.058685306,-0.095482471,-0.344479629,-0.66904753,0.343651291,-0.519738564,0.27682066,-0.240328659,-0.005627001,0.68144708,0.561069238,0.619022276,-0.518409444,0.343155459,-0.368782974
BCAT2 sp|O15382|BCAT2_HUMAN'],num,Molecular,Proteomics,-0.342367291,-0.275354371,-0.409202233,-0.06566034,-0.593153852,-0.499403262,-0.152812062,0.630215183,-0.381568087,0.501977977,0.862116814,0.518789521,-0.245677826,0.338407294,0.18050449
PLXNA2 sp|O75051|PLXA2_HUMAN'],num,Molecular,Proteomics,,,1.195078845,-0.585835978,0.169941239,1.835546057,,,-0.195150375,,-0.171690502,,-1.781964923,2.328349917,
PPP1R12A sp|O14974-4|MYPT1_HUMAN'],num,Molecular,Proteomics,0.148341464,0.240112636,-0.395198574,0.15128821,-0.212440243,0.401889499,-0.039773127,0.001272423,-0.02299761,-0.655111379,-0.074813363,-0.378569901,0.471609498,0.091697243,0.978446557
PPP1R12B sp|O60237|MYPT2_HUMAN'],num,Molecular,Proteomics,0.196753677,,0.390218283,0.891230257,-0.016026731,-0.863031622,-0.120858418,-0.282709827,-0.581853332,1.563601806,1.218005224,-0.576738498,0.580012094,1.15118133,0.562722486
AKAP8 sp|O43823|AKAP8_HUMAN'],num,Molecular,Proteomics,0.323609875,0.296128644,-0.237833846,0.468566829,0.02256053,0.06055345,-0.280217242,-0.044192211,-0.529233627,0.788133628,-0.340175646,-0.771843971,0.38020971,0.555618383,-0.036160787
TOM1 sp|O60784-2|TOM1_HUMAN'],num,Molecular,Proteomics,0.655337567,-0.343796368,-0.629002931,0.19443072,-0.504370777,0.038289921,0.107188655,-0.38873421,-0.933337554,-0.691944964,0.562095175,-1.211514025,-0.376067093,-1.075618701,-0.25984205
POM121C sp|A8CG34|P121C_HUMAN'],num,Molecular,Proteomics,-0.165135379,-0.075335467,0.413644707,-0.272359234,0.040875704,-0.747119679,-0.196513639,0.146342636,-0.676223733,0.767190041,-0.336758656,-0.97913282,0.125778339,0.279389199,-0.155063625
TTC26 sp|A0AVF1|TTC26_HUMAN'],num,Molecular,Proteomics,-0.217503825,-0.529746058,0.191413999,-0.436253283,,0.333981472,0.698806933,-0.629950637,0.282794797,,0.03254782,,0.022906218,0.175116914,0.289066667
BCL9 sp|O00512|BCL9_HUMAN'],num,Molecular,Proteomics,-0.012004652,0.365241629,,,1.383738743,-0.348351085,-0.409226266,1.655982573,-0.320671961,0.733875642,-0.013929171,-1.893339751,2.085643472,1.994276003,0.435186019
LAMA5 sp|O15230|LAMA5_HUMAN'],num,Molecular,Proteomics,0.734435792,0.739607125,0.073741716,1.135075345,1.181340533,0.259893759,2.500054057,3.119741214,0.696493257,2.236567175,1.199803595,0.507173233,-1.165806929,2.721357873,-0.39931962
HGS sp|O14964|HGS_HUMAN'],num,Molecular,Proteomics,0.075946394,-0.3122682,-0.74793185,0.160310545,-0.041027418,1.112340403,0.29030026,0.722046632,-0.552460639,-0.636423199,-0.129530795,-0.315448353,0.034504855,-0.310458578,0.199806921
MARCH6 sp|O60337|MARH6_HUMAN'],num,Molecular,Proteomics,0.645710195,,0.018126301,-0.380663803,-0.842831461,,0.021910399,0.451813354,0.043181069,0.454170209,0.766850224,-0.259792483,-0.53928872,0.077616848,-0.488597312
AGPAT2 sp|O15120|PLCB_HUMAN'],num,Molecular,Proteomics,-0.195881862,-0.133735634,0.466847048,-0.180088427,0.124324236,-0.090085557,0.217187973,0.458920023,0.601724692,0.144347473,0.558848959,2.098857827,-1.341588509,0.945185768,-0.188422931
DENND4B sp|O75064|DEN4B_HUMAN'],num,Molecular,Proteomics,,,,,,,-0.11557154,-0.400433961,0.047197824,-0.178361968,-0.054979175,,-0.455122178,-0.58079065,0.150891588
PIK3CD sp|O00329|PK3CD_HUMAN'],num,Molecular,Proteomics,,,-0.391013496,0.049683679,,0.775944374,0.285019472,-0.624590324,0.537228836,,-0.553256647,-1.661480496,,-0.218354358,0.172942907
PRODH sp|O43272|PROD_HUMAN'],num,Molecular,Proteomics,2.87603635,,-0.545169548,-0.096775713,0.161124612,0.457839965,-0.231611206,-0.594001639,2.786275273,-0.049422834,-0.091997947,-0.521552772,-1.469113243,-1.020639708,-0.418117329
SCAMP2 sp|O15127|SCAM2_HUMAN'],num,Molecular,Proteomics,0.827411216,0.277409681,-0.675229437,-0.089888438,-0.520992448,-0.207062868,1.078899036,-0.318523665,0.174622041,-2.426879776,1.175570995,1.423179645,-0.727056761,-0.675501892,-0.084587563
GATC sp|O43716|GATC_HUMAN'],num,Molecular,Proteomics,0.029880077,0.062181336,-0.474037524,0.766129811,0.214316274,0.648744727,-0.54427113,0.362770355,-0.878373318,0.648096083,-0.110113436,-0.539278503,-0.201727041,1.103019989,-0.471806044
MEX3A sp|A1L020|MEX3A_HUMAN'],num,Molecular,Proteomics,,-1.445809293,-0.062279771,,,-0.539326833,-1.127169505,2.333334672,,1.132703089,0.113535018,-0.023193006,1.272402885,2.199657018,0.012635942
PDE2A sp|O00408|PDE2A_HUMAN'],num,Molecular,Proteomics,-0.326444273,0.089827749,0.239064567,-0.246336477,-0.734232823,2.49399969,0.16318863,-1.631299314,,,-0.429900981,0.216548614,,,-0.487228451
KIF5C sp|O60282|KIF5C_HUMAN'],num,Molecular,Proteomics,-0.038090219,-0.126532093,-0.696826746,-0.505531526,4.432905873,0.022927467,0.090900184,0.320607259,-1.190433061,-0.795354342,,-1.424077224,-0.371197024,,1.020639998
GFRA3 sp|O60609|GFRA3_HUMAN'],num,Molecular,Proteomics,,,,,,-0.346253542,,,,,,,,,
NEMF sp|O60524|NEMF_HUMAN'],num,Molecular,Proteomics,-0.58060428,-0.90307515,0.141678259,-0.009741247,-0.676611946,-0.220166214,0.619766393,-0.873825136,-0.21546651,-0.279155535,0.1016089,0.461118799,1.034592707,-1.259270968,-0.482658668
TSC22D2 sp|O75157|T22D2_HUMAN'],num,Molecular,Proteomics,-0.936281432,0.155743499,0.971508224,-0.055968588,0.531296559,1.452748207,1.301514004,-0.724865858,-0.437319705,-1.947529379,0.536484954,0.027255784,0.554616479,-1.218577957,0.696801013
APBB1 sp|O00213|APBB1_HUMAN'],num,Molecular,Proteomics,,-0.149961153,,,3.10569567,-0.667021199,2.077775897,1.190541212,0.511167234,,0.176440078,-1.520915892,,,
PFKFB2 sp|O60825|F262_HUMAN'],num,Molecular,Proteomics,-0.297899578,0.007960914,-1.102635458,-0.018911201,-0.943617704,-0.515893806,-0.797680324,-0.343383793,-0.566310433,-0.969429633,0.063369396,0.314344453,0.085495193,-1.766700036,-1.124341048
FCHO1 sp|O14526|FCHO1_HUMAN'],num,Molecular,Proteomics,,,-0.761377024,,0.27522694,-0.042313359,-0.528346418,-0.938481604,-1.632212299,0.065443436,-1.292426475,-0.052658982,0.003333947,-1.636680319,
UGDH sp|O60701|UGDH_HUMAN'],num,Molecular,Proteomics,-0.366282726,0.148966609,-0.53952,-0.141275753,-0.078548161,-0.038547447,-0.385717747,0.662722698,1.449760152,-1.204897114,0.649606996,2.544909448,-0.246654461,-1.95060292,0.142099925
C17orf96 sp|A6NHQ4|CQ096_HUMAN'],num,Molecular,Proteomics,,,,,,0.239993362,,,,,-0.977832287,-1.524600852,1.65923751,,0.629124266
AQR sp|O60306|AQR_HUMAN'],num,Molecular,Proteomics,-0.022635161,0.166603948,0.22634223,-0.578059468,-0.23747842,-0.335386786,-0.17609339,0.047072261,0.27915571,0.774304716,0.063131569,-0.23921967,-0.302194409,-0.106262959,-0.680135978
RIPK2 sp|O43353|RIPK2_HUMAN'],num,Molecular,Proteomics,0.315762156,-0.605355978,0.149967632,0.051135055,-0.396369796,0.28303156,0.0754719,-0.773273169,1.143308868,-1.232003976,-0.500017752,-0.999408649,0.375216042,-1.562217938,-0.486356891
DFFA sp|O00273|DFFA_HUMAN'],num,Molecular,Proteomics,-0.445833361,-0.086299419,0.92633371,0.215454654,-0.747588144,0.687881597,-0.509606067,0.227274565,-0.400401471,-1.292770715,-0.503135561,-0.526291727,1.000344141,0.053187727,1.387386578
GAPDHS sp|O14556|G3PT_HUMAN'],num,Molecular,Proteomics,1.034356778,0.192496251,0.1126892,-0.654098094,0.425946723,0.834278143,0.861449214,-0.649678272,-0.059577657,-1.056785786,0.177227449,-0.780793298,0.040559049,-1.107348933,0.421389296
IGSF3 sp|O75054-2|IGSF3_HUMAN'],num,Molecular,Proteomics,0.211825399,0.052029224,-1.416694332,-1.553899647,0.438695594,-0.469647114,-0.067536033,0.240327428,0.39721858,-0.525808872,0.535362797,-0.444252064,-1.002257616,0.132863195,0.019696008
DLX3 sp|O60479|DLX3_HUMAN'],num,Molecular,Proteomics,,,,,,,0.883767129,-0.017758781,-0.295744303,,,-1.308550396,,,
DBX1 sp|A6NMT0|DBX1_HUMAN'],num,Molecular,Proteomics,,,,,,-0.176999251,,,,,-0.06011503,0.601906455,,,
HOXC11 sp|O43248|HXC11_HUMAN'],num,Molecular,Proteomics,,,,,,,,,,,,-0.444487548,,,
HOXA3 sp|O43365|HXA3_HUMAN'],num,Molecular,Proteomics,,,,,,,,,,,,,0.033046201,,
C2orf72 sp|A6NCS6|CB072_HUMAN'],num,Molecular,Proteomics,-0.248250742,,,,,-1.558976795,,,,,0.0154977,2.064603588,2.108621722,,
KLRG2 sp|A4D1S0|KLRG2_HUMAN'],num,Molecular,Proteomics,1.798277082,,-1.101813812,2.641238905,1.065959783,,0.392838108,2.721548603,0.72688393,,,,-0.125925862,5.249098025,0.572071493
CNOT3 sp|O75175|CNOT3_HUMAN'],num,Molecular,Proteomics,-0.011272901,-0.360807545,-0.165055296,0.563573952,-0.059832592,-0.14182505,-0.022826642,-0.289053997,-0.501401431,-0.197894872,0.077721434,0.283178582,0.991070523,-0.613194151,0.215758265
MITF sp|O75030|MITF_HUMAN'],num,Molecular,Proteomics,0.088586825,,-0.12787378,1.57041448,2.057462283,-0.467637811,0.509947194,-0.823394882,0.120999849,,-0.209386206,-0.896826352,-1.664524305,-0.623112533,-0.105684296
MITF sp|O75030-6|MITF_HUMAN'],num,Molecular,Proteomics,,0.767616262,-0.964090265,,,,,,,,,,-1.496401545,-0.597501543,0.297500141
RNF40 sp|O75150|BRE1B_HUMAN'],num,Molecular,Proteomics,0.160435038,0.075966936,-0.006440934,0.322943411,-0.164609122,-0.401987123,-0.430183979,0.435429131,-0.198276641,0.703876355,-0.201760283,0.46454661,-0.151134662,1.096694141,-0.29378793
CEP104 sp|O60308|CE104_HUMAN'],num,Molecular,Proteomics,,,,,,,,,,,-0.019037173,0.551197212,1.732802429,0.078981566,
SPAG9 sp|O60271|JIP4_HUMAN'],num,Molecular,Proteomics,-0.423653936,0.090854832,0.232487292,-0.876051635,-0.072678292,-0.448672682,0.301918638,-1.406040942,0.210793359,-1.771490072,0.086389338,0.732878449,0.162255015,-2.246101943,0.584459103
SOX12 sp|O15370|SOX12_HUMAN'],num,Molecular,Proteomics,,,,,,,,,,,,-0.930679001,1.290872597,,
ZNF593 sp|O00488|ZN593_HUMAN'],num,Molecular,Proteomics,0.111983283,0.112871376,0.148942568,1.356202532,0.7850971,0.925126955,-0.711072604,0.285075248,0.508942033,1.326575629,-0.367628094,0.203581593,1.041939686,0.233266537,0.650505821
MYO9A sp|B2RTY4-4|MYO9A_HUMAN'],num,Molecular,Proteomics,-0.447324471,-0.198652341,-0.368833549,-1.079804325,0.089242296,0.321878627,0.785740763,-0.659887619,0.223939963,-0.718238365,-0.276947528,-1.114866265,-0.000152334,-1.002150211,
PEX7 sp|O00628|PEX7_HUMAN'],num,Molecular,Proteomics,0.794738607,-0.981497789,,,,,-0.081506195,-0.602918559,-0.527838708,,-0.741433538,0.416769613,,-0.430162152,
GAK sp|O14976|GAK_HUMAN'],num,Molecular,Proteomics,1.038381022,-0.401356209,0.070184363,-0.024511122,0.006262114,-0.737330784,-0.446363959,-0.783011979,-0.107674123,-0.807651728,0.09293549,0.286317083,0.880867232,-0.982301481,-0.428688249
OPA1 sp|O60313-2|OPA1_HUMAN'],num,Molecular,Proteomics,0.413500257,-0.130250682,-0.234703863,-0.778014565,-0.349695799,0.163832059,0.26695497,0.549043199,0.14759763,0.775800243,0.174235125,0.340696997,-0.609889928,0.365513658,-0.753511798
PTPLA sp|B0YJ81|HACD1_HUMAN'],num,Molecular,Proteomics,,,,,-0.390717444,,0.382815973,-1.780758543,,,0.040953195,,,-1.75947,
CHD1 sp|O14646|CHD1_HUMAN'],num,Molecular,Proteomics,-0.244519679,-0.504395782,0.504689874,-0.130719222,0.562143998,0.236644433,-1.381060634,-0.201560403,0.04783732,1.169145977,-0.089931477,-0.170523539,0.515342057,0.025238091,-0.279708596
CHD2 sp|O14647|CHD2_HUMAN'],num,Molecular,Proteomics,-0.197742168,-0.160963465,-0.12086524,-0.465246749,-0.446921457,0.05786217,0.42895435,0.221315157,0.884597936,0.52702973,-0.044183175,0.351205818,0.282089885,0.168201759,-0.030303156
GNAT3 sp|A8MTJ3|GNAT3_HUMAN'],num,Molecular,Proteomics,0.745068173,,,,,,,,,,,,,,
UNC13B sp|O14795|UN13B_HUMAN'],num,Molecular,Proteomics,-0.033378872,-0.262803576,-0.364274197,,,0.301016709,0.398349758,-0.273360172,1.03691928,,-0.160283534,-0.120324829,0.29152523,-0.893422336,
SCD sp|O00767|ACOD_HUMAN'],num,Molecular,Proteomics,0.41915103,0.233710508,-1.404049406,0.351651145,-0.523570779,-0.086015833,-0.52019495,1.620328837,-0.89872386,-0.735015398,-0.230883975,-0.802356615,-0.079651885,-1.06233144,0.006872179
PRMT5 sp|O14744|ANM5_HUMAN'],num,Molecular,Proteomics,-0.232553515,-0.452994412,0.240911392,-0.18335656,-0.107702055,0.761557354,-0.008087191,-0.629782313,0.12896676,-0.830917013,0.027393036,0.057139119,0.153411476,-0.492468075,0.438789396
PRC1 sp|O43663|PRC1_HUMAN'],num,Molecular,Proteomics,0.545623761,0.698476922,-0.129077191,-0.428426826,1.239527983,-0.687108714,-0.822349812,-0.302757389,0.021965256,0.063069224,0.514985785,0.012478615,-0.850320698,-0.187635138,0.188590438
