Feature,Data_Type,Category,Sub_Category,ACH-000001,ACH-000048,ACH-000091,ACH-000116,ACH-000132,ACH-000291,ACH-000430,ACH-000443,ACH-000524,ACH-000527,ACH-000574,ACH-000617,ACH-000657,ACH-000663,ACH-000688,ACH-000696,ACH-000704,ACH-000713,ACH-000719,ACH-000811,ACH-000885,ACH-000906,ACH-000947,ACH-001063,ACH-001151,ACH-001374,ACH-001418,ACH-001630,ACH-002140,ACH-002149,ACH-002181,ACH-002182
AZD7762 (GDSC1:1022)_Sanger,num,Drug Screen,GDSC1_Sanger,-1.476909845,-1.04426902,-1.014149354,,-0.357326939,0.184267207,-1.798402698,,,-1.669456338,,-1.993016762,-0.048309308,-2.339401972,0.503959398,-1.101795238,0.633702951,,,-0.602367155,-2.104746669,-2.622329862,-1.54740354,-1.319940734,-2.239231585,0.383973959,,-2.197370817,-2.227347722,,0.680850012,-1.125827373
A-154475 (GDSC1:1024)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,0.460942755,-0.389755848,,,,,,-1.889200802,,,-0.244654593,-0.326505025,,,0.789109091,-5.297613538,-1.349962897,0.816599804,-3.26513025,-0.578439068,-1.123489164,,0.32440005,-2.191677327,-0.312917203,,0.2212848
17-AAG (GDSC1:1026)_Sanger,num,Drug Screen,GDSC1_Sanger,,-1.7615871,-2.629651529,,-0.155757536,-5.743771053,-4.227331708,,,,,,-2.459034557,-2.317468969,-2.193839953,-3.057825376,,,,-1.590053306,-6.700371823,-0.34065933,-2.609949367,-4.797233335,-4.073133502,,,,-4.649206449,,-0.909696867,-2.900702427
ELESCLOMOL (GDSC1:1031)_Sanger,num,Drug Screen,GDSC1_Sanger,-3.596313877,-6.089996579,-5.436849246,,-7.718314259,-6.085659237,-5.359248029,,,-6.335294962,-3.591609866,-6.99819201,-7.067095322,-7.339041517,-3.656381624,-7.721329549,-3.580559555,,,-6.334331005,-6.028889491,-5.75570542,-5.031974799,-8.220991974,-8.327589397,-6.128099295,,-5.318582819,-7.686234039,,-4.137847444,-6.330705888
AFATINIB (GDSC1:1032)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.199823277,
PLX 4720 (GDSC1:1036)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,,,2.918910433,,,,,2.569251448,,,,,,
BX-795 (GDSC1:1037)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,1.497050617,,,,,,,,,1.164062775,1.915876946,,,,,,-0.130843525,,,1.398459318,1.847419609,0.079187425,,,1.037885901,1.304812821,,
BORTEZOMIB (GDSC1:104)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,-9.618073842,,,-10.74232975,,,,,,,,,,-8.300956053,,,,,,,,-9.545837309,,
681640 (GDSC1:1046)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,0.942035085,,,,,,,,,,,,,,,,
NUTLIN-3A (-) (GDSC1:1047)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,,,1.708100491,,,,,1.07385653,,,1.281497056,2.774077322,,
MIRIN (GDSC1:1048)_Sanger,num,Drug Screen,GDSC1_Sanger,5.028323678,6.344052668,,5.174579311,,,6.422764608,,,,,,6.220465773,,,,6.583599694,,6.203569535,,,,,,,,,5.127873789,,,,4.752930891
ZM 447439 (GDSC1:1050)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,,,0.943426083,,,,,,,,,,,
MK 2206 (GDSC1:1053)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,,,,,-0.715253646,,,,,,1.364755747,,,
PALBOCICLIB (GDSC1:1054)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,0.375427182,,,,,1.46867299,,,,,-0.874389473,,,
BEZ235 (GDSC1:1057)_Sanger,num,Drug Screen,GDSC1_Sanger,,,-4.682297379,,-3.319715374,-5.207029175,-5.875591525,,,,,,-2.681658917,-4.690548691,,-4.232927574,,,,,-7.897518961,-2.285024477,-5.504209641,-4.626173855,-3.81661602,-4.939980196,,,-5.952919819,-3.700242391,,-3.498702937
PICTILISIB (GDSC1:1058)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,-0.597745159,,,,,-1.492857248,,,,-1.31194584,,,1.217176044,,,,,,-0.765614512,,1.247528009,1.591390705,,,,,,1.916339231
AZD-8055 (GDSC1:1059)_Sanger,num,Drug Screen,GDSC1_Sanger,,0.074268036,0.966509407,,0.410661103,0.40986503,-0.829198363,,,-0.053233582,,,,-1.354198624,,,0.697123511,,,0.491516443,0.359689661,0.369134603,-1.666480183,-0.248011966,-0.422947743,-0.137272663,,0.977517727,-1.691024022,-0.151903492,0.774855024,
ERK5-IN-1 (GDSC1:106)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.071020415,,
PD 0325901 (GDSC1:1060)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,-3.208792857,-6.390126817,-5.200700835,,,,,,,,,,,,,,,-4.213731781,,,-5.804756587,,,,,,,
SB-590885 (GDSC1:1061)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,2.112121687,1.307497738,,,,,,,,,,,,,,,,,,,,,,,,,
ARRY-886 (GDSC1:1062)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.261397342,,,
AK-55409 (GDSC1:1066)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,2.15461354,1.666878438,,,,,,,,,,,,2.101222621,,,,,,
PACLITAXEL (GDSC1:11)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,-6.698045509,,,-5.78485505,,,,,,,,,,,,,,,,,,-6.32228839,,
JNJ-26854165 (GDSC1:1133)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,,,,,,,,2.187607306,,,2.492850495,2.016691439,,
HG-5-113-01 (GDSC1:1142)_Sanger,num,Drug Screen,GDSC1_Sanger,1.865021044,2.708152076,,,1.773580895,,2.799813284,,,,,2.399246845,1.825840374,2.347610437,0.513978346,1.835558565,,,,,0.945729161,,,0.845654516,,,,1.308150147,1.672112463,1.527822388,,1.769838909
TW 37 (GDSC1:1149)_Sanger,num,Drug Screen,GDSC1_Sanger,-1.073824536,-2.166046351,-1.861142714,-1.202922722,-1.95769115,-1.392434519,-1.384180927,,,-1.257788118,,-1.064093945,-1.987417131,-1.558755869,,-1.851661916,-0.361961327,,-1.375653828,-0.526304677,-3.15412107,-1.716233308,-3.382048007,-0.96912191,-0.675199684,-2.625744801,,-1.336807624,-1.690976606,-0.57462214,,0.612373662
ZG-10 (GDSC1:1161)_Sanger,num,Drug Screen,GDSC1_Sanger,0.604923043,1.564102399,3.087328252,,1.627951984,,1.446700881,,2.014559372,,,2.51461973,1.705335536,2.507458589,2.742000376,1.407048318,,,,,1.132680523,,2.015465401,1.064925211,,,2.124797295,0.289685132,1.271934467,1.597847348,,1.146608868
QL-VIII-58 (GDSC1:1166)_Sanger,num,Drug Screen,GDSC1_Sanger,-2.602411477,-1.939329411,0.819006518,,-0.880220015,-0.801495888,-3.461259442,2.733703952,-1.655503305,1.774122031,,-1.388911545,-0.995993798,1.042232885,-0.556750863,-0.585716701,,,,,-3.010514033,1.579737144,-2.806800705,-2.602708008,,,0.985725721,-2.619118904,-2.865845053,-1.327900295,2.488567523,-2.251684644
CCT 018159 (GDSC1:1170)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,2.816056212,,,2.469712798,,,,,,,,,,2.192336024,,,2.362105942,,,
AG-014699 (GDSC1:1175)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,1.967800162,,,,,,,,,,,,,2.157759727,,,,,,
GSK 269962A (GDSC1:1192)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,1.997132445,,,,,,,,,,,,,,,,,1.554920965
QL-XII-61 (GDSC1:1203)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,1.959919591,,,,,,,,3.15086949,,,,,,,,,,,-0.277867432
PFI-1 (GDSC1:1219)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,1.066108713,,,,,,,,,,,2.305718572,2.064951952,
AK176060 (GDSC1:1230)_Sanger,num,Drug Screen,GDSC1_Sanger,,-3.518169696,,,,,-3.464277907,,,,,,,,,,,,,,,,,,,,,,,,,
UNC 0683 (GDSC1:1236)_Sanger,num,Drug Screen,GDSC1_Sanger,3.94435316,4.163024304,,,,,3.938342665,,,,,,4.277272821,3.565510336,,4.159918612,,,,,,3.171150785,,3.974967013,4.306290524,,,4.037791935,3.064674567,3.963663256,,4.161900107
YK 4-279 (GDSC1:1239)_Sanger,num,Drug Screen,GDSC1_Sanger,0.455871886,,2.275543947,3.128250527,,,,,,,,1.997284878,1.902342475,1.5744608,,1.605618179,2.158865911,,1.023798478,,0.439674693,,1.693893003,,2.047437512,,2.450753262,1.619413954,,2.544027347,,-1.127126345
(5Z)-7-OXOZEAENOL (GDSC1:1242)_Sanger,num,Drug Screen,GDSC1_Sanger,2.732653077,0.566030117,1.925918082,3.195803121,0.781601638,,-0.395281557,,3.076427737,2.207489107,,2.454310297,1.622202916,1.823078793,1.602564313,1.595436365,0.386574771,,-0.981907504,3.108340668,1.008719041,1.390673147,1.449712883,1.557578282,-0.170705945,,2.716459131,-0.776901544,-0.197559568,1.021453817,,-1.083967276
PIPERLONGUMINE (GDSC1:1243)_Sanger,num,Drug Screen,GDSC1_Sanger,1.8764738,2.671522057,2.444972564,3.100603425,2.653291921,,1.859140375,,3.167885571,2.870785516,2.687385846,2.887817463,,2.026173034,2.101955234,2.532213559,1.458815863,,1.435350266,3.241744252,1.213052959,3.318081073,1.204518425,1.30230175,2.160724169,,2.705735558,1.894194214,2.312861668,2.163345186,,1.253492169
APO866 (GDSC1:1248)_Sanger,num,Drug Screen,GDSC1_Sanger,,-5.836330621,,,,,-3.287647809,,,,,,,,,,,,,,-4.542863934,,,-6.342219825,,,,,,,,
TALAZOPARIB (GDSC1:1259)_Sanger,num,Drug Screen,GDSC1_Sanger,,1.437100469,,,1.977253561,,0.148762793,,,,,,0.811571696,,,0.615927891,3.233182713,,,,0.837537794,1.17770152,,2.008691473,,,,,,2.694483003,,3.308297212
RTRAIL (GDSC1:1261)_Sanger,num,Drug Screen,GDSC1_Sanger,-4.994935623,,,,,,,,,,,,,,,,,,,,,,,-4.165507855,-3.768327672,,,,,,,
ICL1100013 (GDSC1:1266)_Sanger,num,Drug Screen,GDSC1_Sanger,,0.334554268,,,,,,,,,,,1.302071612,,,1.344673146,3.652062759,,1.776036932,,0.053496234,2.142607627,,1.191587423,,,,,-0.125208198,,4.109666625,
NVP-XAV939 (GDSC1:1268)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.951340513
GSK 269962A (GDSC1:127)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.423326652,,
DOXORUBICIN (GDSC1:133)_Sanger,num,Drug Screen,GDSC1_Sanger,-0.024191686,-5.590439548,,-1.923773725,,-1.828946616,-0.092441663,,-1.973685112,-1.243925489,,-1.552939293,-5.739927821,,,-4.064094106,-1.506643601,-0.677474171,-0.923297626,-4.378370137,-0.447614762,-0.307338263,,,-1.735148562,-6.557384909,,,,-6.405191046,,
ETOPOSIDE (GDSC1:134)_Sanger,num,Drug Screen,GDSC1_Sanger,,-1.482714943,,1.795086968,,0.75460249,2.268546801,,-1.90659756,,,,2.069598322,,,0.661951689,3.782036503,,,,,,,,0.505654038,-2.842446347,,,,0.910731209,,
GEMCITABINE (GDSC1:135)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,-4.25768644,,-4.576218138,-2.4545164,,,,,,,-7.147225362,,-6.942756008,-2.490358282,,,-5.358101296,,,,,,-6.854727128,,,,,,
MITOMYCIN-C (GDSC1:136)_Sanger,num,Drug Screen,GDSC1_Sanger,1.004209201,-3.37549757,,0.123940205,,-0.921833725,-2.408730553,2.021410314,0.661861567,3.067186279,3.407330036,0.769531156,,-1.879020322,,-1.642138935,-2.632079285,-1.83570181,2.108266725,-1.386091989,0.948618693,1.051684636,,,0.364197941,-3.375086945,,,,-1.68053745,,
PLX 4720 (GDSC1:1371)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,,,,2.852201395,,,,,,,,,,
TRAMETINIB (GDSC1:1372)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,-5.723139169,,-5.301855639,,,,,-3.40638869,-2.92474782,,,,-0.450675018,,-2.960856563,,,,,,-7.941440437,,,-1.408237925,-6.390309622,,-3.86688196,-3.033132041
DABRAFENIB (GDSC1:1373)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,,,,-3.895108739,,,,,,,-0.373448108,,,
AFATINIB (GDSC1:1377)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,-2.004866153,,,,,,,,,,,,-2.540562181,
BLEOMYCIN (50 UM) (GDSC1:1378)_Sanger,num,Drug Screen,GDSC1_Sanger,3.514178652,1.636538056,2.95061521,4.512808983,2.487983015,,1.820732306,,,,,,,3.381721506,3.884185748,-0.716738345,,,3.73186186,4.886345765,0.240047985,0.308212837,5.372952056,2.972567264,1.641111523,,,1.577770988,-0.898089205,-1.876449957,,
EXELBINE (GDSC1:140)_Sanger,num,Drug Screen,GDSC1_Sanger,-7.80004797,-8.931495812,,-5.990928701,,-4.528822348,,,-7.966680059,,,-8.911228585,-6.819224967,,,-6.186066124,,,,,,,,,,-7.963387398,,,,-6.050207759,,
SN38 (GDSC1:1494)_Sanger,num,Drug Screen,GDSC1_Sanger,,-7.733551666,-7.281926882,-6.687966214,-6.968749594,-4.314137221,-8.474492587,,,,,,-4.777548609,,-4.101512053,-7.363530053,-6.485677398,,,-3.555568263,-7.071404755,-6.955567936,-6.148930647,-7.257873352,,-8.878162393,-4.191209108,-7.532755489,-7.731939219,-7.079990954,,-4.606120499
ARRY-886 (GDSC1:1498)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,-1.544294503,,,,,,,,,,,,,,,,-0.611388985,,,-1.109108882,,,,0.994908759,,,
944328-88-5 (GDSC1:151)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,2.325292482,,,,,,,,,,,,0.662870874,,,,,,,,,,,
1080622-86-1 (GDSC1:152)_Sanger,num,Drug Screen,GDSC1_Sanger,,1.451541792,,,3.906409281,3.779379794,,,,,,,2.214111963,,2.873491425,3.383469284,,2.983804411,,2.744643729,2.643426268,,,,,0.851215437,,2.623692177,,1.300169605,,
BAY 869766 (GDSC1:1526)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,1.143273823,-1.448853463,1.477614584,,,,,,,,,,,,,,,,,,-0.785966911,,,2.04713992,1.161550239,,,1.556507093
PICTILISIB (GDSC1:1527)_Sanger,num,Drug Screen,GDSC1_Sanger,0.753856175,,,,0.760250433,,,,,,,,,0.31889769,1.357665431,,-0.926894323,,-0.38061672,,,,0.619694201,,0.583733375,,,,,,-0.387399046,
PEVONEDISTAT (GDSC1:1529)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,-0.935212218,,,,,,,,-0.668996385,,,,,,,
BENZOYLSTAUROSPORINE (GDSC1:153)_Sanger,num,Drug Screen,GDSC1_Sanger,,-2.721697675,,,,,,,-1.305714432,,,,,-2.039661241,,,,,,,-1.894955546,,,,,-2.303024375,,,,-2.785214009,,
LADUVIGLUSIB (GDSC1:154)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,1.313444695,,,,,,,,,,,,,,,,,,,,,,,,,
AP-24534 (GDSC1:155)_Sanger,num,Drug Screen,GDSC1_Sanger,,-1.777328709,,,,,,,-1.091975464,,,,,-1.231866589,,,,,,,,,,,,,,,,,,
AK-55409 (GDSC1:156)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,-0.559196689,,,,,,,,,,,,,,,,,,,,,,,
JNK INHIBITOR 9L (GDSC1:157)_Sanger,num,Drug Screen,GDSC1_Sanger,-0.619332561,-1.315998504,,1.051315191,,-0.212139311,-1.204338413,,-0.911762441,0.758282108,0.196700893,-0.001078314,-0.836738379,-1.82452329,,-1.216245923,-0.381354627,0.577213096,-0.436355098,1.612276204,0.011531365,1.203103547,,,-2.022536683,-1.759892243,,,,-1.607056179,,
PF-00562271 (GDSC1:158)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,,,,,,,,,,,,,1.074390634,,,,,,
HG6-64-1 (GDSC1:159)_Sanger,num,Drug Screen,GDSC1_Sanger,,-0.786412078,,,,,,,-0.303579747,,-1.239968129,0.42239579,1.786347942,-0.191276027,,0.544102868,1.534454405,,1.699204254,0.099234537,0.457033726,,,,,-0.176439742,,,,-1.002809409,,
(+)-JQ-1 (GDSC1:163)_Sanger,num,Drug Screen,GDSC1_Sanger,0.917996413,-1.770884454,,,,,,,,0.46296019,-2.453918445,,,-4.267066974,,0.106384822,,,,-2.700901946,,,,,,-0.497598734,,,,-3.632479885,,
JQ12 (GDSC1:164)_Sanger,num,Drug Screen,GDSC1_Sanger,,0.717320931,,1.154876943,,,,,,,,,,,,,,,,0.345357337,,,,,-1.361586391,-2.190284164,,,,1.869786701,,
DIMETHYLOXALYLGLCINE (GDSC1:165)_Sanger,num,Drug Screen,GDSC1_Sanger,7.879143957,6.183009007,,11.01625388,,10.19726373,11.81639842,10.47843176,10.98546187,,11.65158034,7.664487168,11.27475711,9.92100098,,10.04818141,9.525176995,10.30254737,10.39273977,10.85128293,11.58472903,11.83396775,,,10.1606452,7.438066146,,,,6.18555239,,
AR-12 (GDSC1:167)_Sanger,num,Drug Screen,GDSC1_Sanger,3.377070501,0.526642226,,3.938949442,,3.271945008,2.129644114,3.794003685,1.169361141,,3.039202547,2.789241291,0.987918529,3.81982702,,2.275977072,3.247078605,3.793709726,2.437462899,2.443945215,3.031179319,3.717917367,,,3.151815553,1.705513328,,,,2.223858688,,
ANCHUSIN (GDSC1:170)_Sanger,num,Drug Screen,GDSC1_Sanger,-0.792735117,-2.342130589,,0.754499326,,0.622316163,0.921328985,,1.205233316,0.766659277,-0.247619846,0.2818085,1.47345726,0.987568867,,-0.667628013,-0.079259724,-0.002854793,0.115359922,1.927651346,-1.613973979,0.938968946,,,0.156171908,-1.543062349,,,,0.179468563,,
EMBELIC ACID (GDSC1:172)_Sanger,num,Drug Screen,GDSC1_Sanger,,2.638857326,,4.642825958,,2.434358724,4.17638819,,3.5195213,,4.50925307,4.109031597,3.969581224,,,4.169670833,3.847091313,,3.66816182,3.108411592,,,,,,1.895294824,,,,2.396551894,,
FH535 (GDSC1:173)_Sanger,num,Drug Screen,GDSC1_Sanger,2.900254831,1.465179123,,4.454395436,,,0.200891218,,0.920961497,3.122112659,3.990634818,2.557163317,2.24770428,2.999301331,,3.509118895,1.491810334,,,4.354756986,,,,,,1.925075532,,,,1.947118827,,
GTPL5238 (GDSC1:175)_Sanger,num,Drug Screen,GDSC1_Sanger,-0.253002534,,,,,,,,,,,1.132327401,0.930792976,0.641679317,,0.480822595,,,,1.154478449,,,,,,,,,,,,
IPA 3 (GDSC1:176)_Sanger,num,Drug Screen,GDSC1_Sanger,4.42371306,,,,,,,,,,,4.636391608,3.417482395,,,,,,4.73919852,4.71970248,4.333375291,4.199594446,,,4.068164005,3.307888661,,,,3.059558518,,
GSK 650394 (GDSC1:177)_Sanger,num,Drug Screen,GDSC1_Sanger,,0.362871156,,,,,,,,,,,,,,,,,,,,,,,,2.438569284,,,,,,
BAY-61-3606 (GDSC1:178)_Sanger,num,Drug Screen,GDSC1_Sanger,,0.371892266,,,,,,,,,,,-0.037360657,0.661736445,,,,,,,,,,,,0.612784151,,,,1.133250562,,
FLUOROURACIL (GDSC1:179)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,1.028994608,,,1.443796652,,,,,,2.380527959,,,,1.042600898,,,1.932325548,1.702241387,,
OCTANOIC ACID (GDSC1:180)_Sanger,num,Drug Screen,GDSC1_Sanger,-7.657445411,-8.462358592,,-3.612575702,,-7.896288589,-8.118903166,,-8.706895051,,-4.443259214,-7.789734606,-8.000640453,-5.246448611,,-5.546465427,-5.382560044,,,,,,,,,-8.807734185,,,,-8.435293778,,
GX15-070 (GDSC1:182)_Sanger,num,Drug Screen,GDSC1_Sanger,0.739406222,-3.636222278,,-1.807940071,,-0.454899958,-2.378656232,,,-1.487408676,0.18768906,-0.274711277,-2.648059047,-0.893964092,,-3.265704762,-1.068663486,1.054856431,0.593344201,-0.366886779,,-2.154715028,,,0.033184547,-3.070928367,,,,-1.241726298,,
BMS-754807 (GDSC1:184)_Sanger,num,Drug Screen,GDSC1_Sanger,,-2.334732533,,,,,,,,,,0.654669555,-0.850290521,0.748252056,,,,,,,,,,,,-0.95049864,,,,-0.337199591,,
BEXAROTENE (GDSC1:186)_Sanger,num,Drug Screen,GDSC1_Sanger,,2.97068841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLEOMYCIN (GDSC1:190)_Sanger,num,Drug Screen,GDSC1_Sanger,5.970613916,-0.962000538,,4.150588766,,1.634303974,2.101815473,,3.935064947,,,4.669876317,-1.494187089,-0.016835874,,,-0.607698061,,,-0.009740535,,1.832971077,,,4.377334775,1.264343719,,,,,,
AUY (GDSC1:194)_Sanger,num,Drug Screen,GDSC1_Sanger,,-6.31084451,,,,,,,-5.746922165,-3.902107657,,-5.576572411,-7.143808626,-5.859262542,,-5.545377813,-4.454308156,-4.037618438,,-6.792005013,,-3.767268126,,,-5.776705774,-5.422518954,,,,-6.787891841,,
DBI (GDSC1:196)_Sanger,num,Drug Screen,GDSC1_Sanger,,10.96030208,,10.27772502,,10.50387944,11.426779,,11.83113312,11.4311319,11.43384511,11.38068774,7.645552713,11.59221052,,11.08826011,11.63358022,9.367273044,10.82763843,11.41804166,11.77026831,9.188149568,,,11.73333592,9.135843936,,,,7.366540755,,
PAZOPANIB (GDSC1:199)_Sanger,num,Drug Screen,GDSC1_Sanger,,2.946880612,,,,,,,,,,,2.880620884,,,,,,,,,,,,,,,,,2.409741703,,
DACINOSTAT (GDSC1:200)_Sanger,num,Drug Screen,GDSC1_Sanger,-4.02078515,-5.004711092,,-3.291772316,,-3.785358996,-2.848313851,-0.250173127,-4.239839101,-2.77197491,-5.016457515,-3.973515004,-4.132351493,-4.059772468,,-5.302024667,-4.833618048,,-2.397540555,-4.705449056,-0.232592881,-2.362212982,,,-5.805579579,-5.683571965,,,,-4.006746521,,
EPO906 (GDSC1:201)_Sanger,num,Drug Screen,GDSC1_Sanger,-7.092047024,-10.34608822,,-6.553963628,,,,,-6.502783305,,-4.971889584,-7.901544565,-9.75719304,-6.167039462,,-9.424886531,-9.606389437,,,-6.206911491,,,,,-7.463086338,-10.03960859,,,,-10.36491877,,
BMS-345541 (GDSC1:203)_Sanger,num,Drug Screen,GDSC1_Sanger,,2.0435595,3.685681812,,,3.705131266,,,,3.849659478,,,1.241146652,3.617222615,3.231932991,3.285928243,,3.997418103,3.968225171,3.215860511,3.041681261,2.395069243,3.900838467,,2.982607839,2.043981124,,3.999371831,,3.869489492,,
TIPIFARNIB (GDSC1:204)_Sanger,num,Drug Screen,GDSC1_Sanger,3.65794986,-0.628877983,,,,3.556213019,3.705022595,,2.852145493,3.885854161,3.093616382,2.36239963,-0.462610238,2.689239688,,3.360029659,1.704573495,,,2.2122892,,,,,3.836404287,0.738992435,,,,1.983361792,,
