Feature,Data_Type,Category,Sub_Category,ACH-000048,ACH-000091,ACH-000116,ACH-000123,ACH-000132,ACH-000237,ACH-000278,ACH-000291,ACH-000324,ACH-000409,ACH-000430,ACH-000460,ACH-000524,ACH-000527,ACH-000542,ACH-000574,ACH-000608,ACH-000617,ACH-000657,ACH-000663,ACH-000688,ACH-000696,ACH-000704,ACH-000713,ACH-000719,ACH-000796,ACH-000811,ACH-000885,ACH-000906,ACH-000947
MDIVI-1 (CTRP:215497),num,Drug Screen,CTD2,13.755,15.289,14.0375,14.059,14.934,14.587,14.393,14.645,14.264,14.019,14.238,14.224,13.391,14.702,13.85,14.375,12.393,14.414,12.859,13.154,13.458,14.496,14.265,13.752,14.364,14.147,14.582,17.762,14.559,14.053
ATRA (CTRP:23151),num,Drug Screen,CTD2,14.401,14.987,13.9865,14.029,13.726,15.313,14.766,15.319,14.496,15.174,14.574,14.766,15,15.026,14.803,17.831,14.485,13.468,11.376,13.046,14.983,14.44,14.968,14.637,13.167,,13.273,14.788,14.957,14.584
BETULINIC ACID (CTRP:23256),num,Drug Screen,CTD2,13.154,15,16.781,15.077,15.751,17.327,14.722,15.012,15.007,14.756,11.641,15.418,14.52,,14.986,16.123,16.02,15.157,11.611,14.915,14.571,15.395,13.822,15,16.021,15.301,15.846,,,15.8
PHLORETIN (CTRP:24173),num,Drug Screen,CTD2,13.259,14.263,13.2755,12.832,14.27,14.289,14.685,13.439,14.573,13.344,11.823,14.27,13.493,14.412,13.208,14.482,14.262,13.736,12.021,13.365,14.232,13.766,13.516,13.158,13.185,12.865,14.52,13.321,14.19,13.847
THALIDOMIDE (CTRP:24197),num,Drug Screen,CTD2,14.966,14.945,13.824,,15.293,14.277,14.115,14.726,,,,,,,,,14.296,,,,14.339,,15.363,,,,,15.278,,
GOSSYPOL (CTRP:25036),num,Drug Screen,CTD2,11.725,12.694,13.0545,13.124,13.278,11.817,12.896,12.348,13.779,13.289,12.99,13.839,12.869,14.241,13.37,12.031,14.036,14.214,12.824,14.261,13.09,14.24,13.973,13.87,13.687,13.697,14.081,11.411,14.264,13.277
CHLORAMBUCIL (CTRP:25334),num,Drug Screen,CTD2,11.348,13.358,14.5825,13.948,14.657,14.882,15.684,14.807,14.018,14.261,11.417,14.492,14.782,14.798,12.671,14.734,15.865,14.951,9.5112,13.456,13.944,13.935,13.163,12.596,14.456,14.007,14.156,13.922,14.51,12.613
FLUOROURACIL (CTRP:25344),num,Drug Screen,CTD2,14.532,14.227,14.0175,12.843,14.749,15,14.267,15.438,13.814,12.688,13.651,13.893,13.874,14.962,12.976,13.416,15.293,13.32,11.718,13.385,12.429,13.915,14.629,12.577,13.713,13.607,14.443,15.822,14.487,12.682
ISOLIQUIRITIGENIN (CTRP:25393),num,Drug Screen,CTD2,,,,,,,,,15.183,14.661,,14.93,14.866,11.954,,,,,,14.793,,,,,,,,,12.092,
ML083 (CTRP:255961),num,Drug Screen,CTD2,14.721,14.976,14.4545,16,14.488,14.028,14.768,14.967,14.393,15.08,14.555,15,15.605,14.588,14.916,15.286,14.94,14.474,14.262,15,12.272,14.658,14.934,15.284,14.894,14.485,15.113,13.508,14.974,15.537
CID-5951923 (CTRP:267119),num,Drug Screen,CTD2,14.114,14.852,15.078,14.889,14.691,14.39,14.498,13.929,15,14.775,14.334,15.979,14.735,15.777,14.923,13.437,14.392,15.504,14.127,15.821,14.108,15.093,14.09,15.829,16.639,15.149,16.117,14.956,,16.125
CIMETIDINE (CTRP:26870),num,Drug Screen,CTD2,,,,,,,,,15.136,14.351,,15.858,14.085,15,,,,,,15.326,,,,,,,,,15,
AZACITIDINE (CTRP:26874),num,Drug Screen,CTD2,14.943,14.379,15.5745,14.554,14.368,14.82,14.608,15.218,15.224,14.427,14.466,15,16.311,14.672,14.209,16.584,15,14.485,14.412,15.943,14.314,14.623,14.345,14.916,16.84,14.322,16.728,13.012,14.188,
TRIFLUOPERAZINE (CTRP:26914),num,Drug Screen,CTD2,14.497,14.392,14.2065,13.424,14.3,14.794,14.262,14.5,14.696,14.333,14.277,14.747,13.968,14.855,14.566,13.696,10.592,14.967,13.689,14.309,,14.689,14.393,13.614,14.246,14.85,14.674,17.119,14.603,14.244
PACLITAXEL (CTRP:26956),num,Drug Screen,CTD2,5.0782,11.223,9.51945,7.8044,9.5644,7.6411,7.3347,14.593,9.5113,14.154,8.3583,5.4072,11.157,14.339,11.885,9.4597,6.3662,12.015,3.4824,11.657,7.3968,6.492,11.06,6.557,12.304,1.2124,8.8161,9.4423,11.868,5.1795
ICI-46474 (CTRP:26972),num,Drug Screen,CTD2,14.571,15.495,14.461,11.594,14.343,14.307,14.252,14.762,14.854,14.577,12.673,14.889,14.7,14.538,14.822,13.512,13.671,14.619,12.478,15.245,14.781,14.624,14.745,14.782,14.635,14.335,15.086,,14.477,15
CARBOPLATIN (CTRP:26979),num,Drug Screen,CTD2,14.377,15.174,14.525,14.718,15.287,15.179,15.42,14.912,14.795,14.158,15.21,14.857,14.248,14.872,14.847,14.517,16.011,15.468,13.864,14.29,13.952,15,14.087,14.855,14.391,16.366,14.631,14.848,14.931,14.419
IU1 (CTRP:272805),num,Drug Screen,CTD2,14.632,14.992,14.5925,11.164,15.788,,14.745,14.654,14.292,14.143,14.684,15.359,14.137,14.954,14.577,14.521,16.367,12.599,14.037,14.429,15.129,14.621,14.301,14.199,13.484,14.852,14.242,13.439,14.937,14.52
DEXAMETHASONE (CTRP:277354),num,Drug Screen,CTD2,14.804,14.964,14.66,13.391,14.305,14.508,14.516,14.878,15.345,15.216,16.202,15,14.477,16.605,15,15,12.579,15.886,17.083,17.313,13.801,15.729,15.06,12.175,14.727,16.309,14.286,15,16.609,15.609
TENIPOSIDE (CTRP:27871),num,Drug Screen,CTD2,,,12.285,,,,,,10.026,12.03,9.2224,11.674,13.69,12.464,10.143,10.807,,12.973,4.6401,13.931,,9.0172,,8.5611,12.492,9.346,11.073,,11.345,8.0042
SILDENAFIL (CTRP:27872),num,Drug Screen,CTD2,14.476,14.585,14.8315,14.261,14.429,16.703,13.46,14.339,14.742,14.703,13.897,14.328,15.315,14.611,14.302,14.662,12.502,14.363,14.186,14.917,13.714,14.589,14.781,14.269,14.296,13.751,14.409,17.109,14.214,14.693
SIMVASTATIN (CTRP:27894),num,Drug Screen,CTD2,,13.851,14.0245,12.978,14.097,,12.956,13.294,13.3,11.166,13.653,12.602,11.457,13.34,12.826,13.9,12.034,13.994,10.048,12.105,13.267,12.259,14.568,13.147,13.06,12.001,14.258,,14.1,12.319
PARBENDAZOLE (CTRP:28172),num,Drug Screen,CTD2,6.6161,11.285,11.9,8.5411,14.686,10.353,8.2124,12.262,11.637,13.686,10.476,10.422,14.524,12.865,11.565,17.348,11.268,12.545,5.8041,12.954,9.7205,11.66,9.5372,8.9869,12.715,8.0543,12.912,10.994,11.976,9.5561
PROCARBAZINE (CTRP:28183),num,Drug Screen,CTD2,15.437,15,15.8295,15.42,15,17.151,17.103,13.852,14.709,14.732,14.782,15.523,16.702,15.124,14.912,14.129,16.6,14.659,14.456,15.844,15,14.644,14.648,14.746,14.666,14.638,14.675,18.183,14.736,15.299
CURCUMIN (CTRP:28452),num,Drug Screen,CTD2,11.852,11.405,12.262,10.548,13.272,11.946,13.123,12.478,12.715,11.253,12.085,11.831,12.659,11.455,12.489,12.427,11.294,11.831,11.08,11.523,,11.827,11.653,11.61,12.165,11.241,11.948,11.221,11.112,11.451
CICLOPIROX (CTRP:28784),num,Drug Screen,CTD2,11.716,13.779,13.0315,8.2434,13.362,13.19,12.197,11.919,12.686,12.689,12.698,12.478,13.784,13.07,12.44,15,11.218,12.303,11.257,12.89,10.939,11.734,12.261,11.56,13.989,11.117,12.475,9.8,12.7,11.953
EPIGALLOCATECHIN-3-MONOGALLATE (CTRP:28801),num,Drug Screen,CTD2,14.177,14.633,14.1765,11.568,14.335,14.943,14.312,14.627,14.274,14.214,14.103,12.583,13.134,14.354,14.137,14.052,13.744,12.915,12.505,14.272,12.575,13.82,14.231,14.079,13.55,14.31,13.925,,14.264,12.051
ML311 (CTRP:290356),num,Drug Screen,CTD2,11.287,13.941,12.521,10.789,13.446,13.332,12.226,12.442,13.223,14.162,11.178,11.76,13.785,13.8,12.693,14.81,11.701,13.168,10.22,12.451,12.745,11.574,12.389,12.222,13.163,12.104,13.146,13.185,12.342,12.087
MYRICETIN (CTRP:29985),num,Drug Screen,CTD2,15.657,14.985,15.7165,14.431,16.445,15.743,14.727,14.932,14.92,14.87,14.741,13.791,16.199,15.502,16.191,15.247,15.779,14.911,14.681,14.944,12.917,14.457,14.961,16.97,15,14.147,15.771,14.906,15.587,15.305
ABITREXATE (CTRP:30371),num,Drug Screen,CTD2,4.8016,11.718,14.221,,15.927,15,6.8865,12.453,8.0869,11.429,8.1325,12.039,10.784,8.6669,5.5206,13.927,10.435,5.1383,6.6783,11.545,12.166,5.9746,9.2321,9.5434,14.071,7.403,13.599,,6.257,8.6808
LOVASTATIN (CTRP:30620),num,Drug Screen,CTD2,11.63,12.516,12.6375,8.8756,13.482,10.003,12.251,11.077,12.27,10.369,12.234,11.421,11.697,12.12,10.853,12.101,13.928,13.796,7.5245,11.973,12.708,10.235,11.43,12.031,11.674,9.7807,12.852,13.795,13.792,10.424
VALDECOXIB (CTRP:32372),num,Drug Screen,CTD2,13.214,14.01,13.2195,12.462,14.268,14.355,13.854,12.655,14.324,13.38,12.457,13.694,13.248,13.579,12.911,11.835,12.528,13.41,11.486,12.992,13.956,13.635,14.761,12.898,12.508,10.524,13.842,11.16,13.114,12.914
CYCLOPHOSPHAMIDE (CTRP:32620),num,Drug Screen,CTD2,,,15.235,,,,,,14.622,14.615,15.285,15,16.195,14.615,15.379,14.904,,13.746,14.24,15.644,,14.828,,14.955,15.1,16.646,14.882,,14.285,15.415
DACARBAZINE (CTRP:32622),num,Drug Screen,CTD2,14.517,15.124,14.8255,12.523,15,15,14.64,15.377,15.138,13.063,14.469,11.892,14.918,14.847,12.903,16.041,14.554,13.601,14.712,13.915,13.697,14.098,14.257,16.738,14.962,14.528,14.152,,14.495,14.664
NICLOSAMIDE (CTRP:32653),num,Drug Screen,CTD2,10.233,11.86,12.4565,,11.874,11.058,12.729,13.048,11.186,11.735,10.872,11.028,10.983,12.912,11.553,14.039,12.826,13.1,10.185,11.779,10.357,11.659,10.87,13.094,12.623,12.061,13.745,10.299,10.201,12.158
PROCHLORPERAZINE (CTRP:33166),num,Drug Screen,CTD2,14.259,14.503,13.44,12.185,14.203,16.292,13.399,14.256,13.653,13.489,13.297,13.825,13.179,14.281,13.495,13.973,11.521,14.426,12.675,13.529,14.115,14.165,14.186,13.053,13.619,13.51,14.463,14.686,14.219,13.161
VX-680 (CTRP:340501),num,Drug Screen,CTD2,,,,9.0419,,,,,,,,,,,,,,,,,,,,,,,,,,
IMATINIB (CTRP:345041),num,Drug Screen,CTD2,13.484,14.863,13.9565,13.368,14.789,14.932,11.153,14.481,14.481,13.848,13.815,15.445,14.147,14.396,14.608,14.879,14.424,14.489,14.243,14.545,13.832,14.367,14.447,14.478,14.424,14.074,14.766,14.707,14.693,14.033
O-6-BENZYLGUANINE (CTRP:345712),num,Drug Screen,CTD2,14.254,14.901,14.058,13.7,14.538,14.581,14.713,14.31,,,,,,,,,14.083,,,,14.634,,14.871,,,,,15.733,,
DECITABINE (CTRP:347775),num,Drug Screen,CTD2,14.168,15.29,14.9635,13.249,15.089,14.948,14.036,15.237,11.423,13.422,14.022,15,14.277,14.944,13.436,16.629,15.968,14.442,13.077,14.849,13.081,14.399,14.075,14.344,14.015,9.9073,14.472,15.851,14.489,11.583
LADUVIGLUSIB (CTRP:347812),num,Drug Screen,CTD2,14.746,14.87,14.92,13.924,15.504,14.868,12.023,15.937,12.903,14.302,13.242,15.507,14.121,15.597,14.365,16.27,15.26,14.18,13.671,13.873,11.675,14.81,14.29,13.459,13.864,14.368,14.141,12.874,15.077,
BI-2536 (CTRP:347813),num,Drug Screen,CTD2,3.0769,12.144,9.71265,3.8754,12.574,8.0009,8.1361,9.8784,11.32,10.395,9.8177,9.6096,10.942,12.617,9.9767,7.4669,8.7061,6.0808,3.6114,10.477,6.7474,2.1216,8.5553,6.6737,11.227,4.4493,7.4474,7.4366,10.906,6.1064
BRD-K61166597 (CTRP:348633),num,Drug Screen,CTD2,12.444,14.672,12.406,12.501,14.79,14.879,13.151,14.501,13.021,14.692,12.683,10.361,14.639,14.621,13.189,11.949,10.136,13.213,8.5386,13.499,12.345,13.518,14.893,13.396,11.583,11.496,14.206,14.596,14.048,12.794
AG-13736 (CTRP:348990),num,Drug Screen,CTD2,12.015,13.939,13.9125,11.013,13.697,12.99,11.023,12.856,14.653,14.611,13.281,13.487,14.258,14.978,13.589,13.509,14.279,13.269,9.9836,14.362,12.495,13.537,13.787,12.329,13.821,13.114,15.756,13.424,,12.28
ARRY-886 (CTRP:348991),num,Drug Screen,CTD2,12.741,12.919,12.239,11.609,11.456,15.673,13.672,10.293,12.88,10.653,10.014,8.9471,10.709,14.891,9.8502,8.8726,10.898,13.764,8.7903,13.916,10.001,13.61,14.387,12.247,10.211,9.2946,14.078,14.071,12.359,9.6353
BEZ235 (CTRP:348992),num,Drug Screen,CTD2,10.076,11.683,9.54345,9.3655,10.684,9.3441,9.6714,11.379,,,10.628,,,,12.202,12.082,6.7694,11.148,7.1548,,8.9257,12.919,10.46,10.978,11.144,8.7054,10.904,10.679,,8.5462
GW-843682X (CTRP:348997),num,Drug Screen,CTD2,11.224,15.784,13.8555,11.521,14.261,13.895,14.478,15.841,14.12,14.845,13.428,13.353,13.974,14.106,14.789,,12.773,16.293,11.156,14.741,13.345,12.896,13.155,12.332,12.416,10.885,14.287,14.507,13.657,14.437
VANDETANIB (CTRP:349002),num,Drug Screen,CTD2,14.152,13.799,11.397,12.325,12.195,14.215,11.745,14.154,12.555,13.815,12.843,12.751,12.261,13.277,13.317,11.16,11.455,13.201,12.208,11.885,13.725,14.008,13.031,11.434,11.286,14.141,12.404,,14.699,12.808
284461-73-0 (CTRP:349006),num,Drug Screen,CTD2,12.066,12.633,14.3575,11.674,13.372,12.485,12.701,11.714,12.796,13.813,11.856,12.702,12.991,15,11.301,16.648,13.07,13.641,11.203,13.577,8.6699,13.132,12.499,13.362,16.638,12.952,15.642,,15,12.08
ML029 (CTRP:350548),num,Drug Screen,CTD2,14.292,14.602,14.338,13.977,14.448,14.221,14.173,14.459,14.476,14.262,14.235,15.786,13.587,15,14.396,13.39,14.165,14.317,12.834,14.209,14.495,14.636,14.638,14.262,14.257,14.369,14.816,14.174,15,14.293
M-39831 (CTRP:351043),num,Drug Screen,CTD2,14.856,15,15.41,14.285,15.042,15.314,14.989,15.24,15.131,15.252,14.49,14.977,15,15.437,14.71,14.947,14.787,15,14.665,15,14.616,14.998,14.905,16.587,17.032,14.862,15,15.628,14.905,16.641
IFOSFAMIDE (CTRP:35319),num,Drug Screen,CTD2,,,15.667,,,,,,14.481,13.751,15.417,15,15.245,14.582,15,14.744,,14.149,,14.271,,14.586,,16.275,15.769,17.202,15.363,,15,16.12
BRD4132 (CTRP:3588),num,Drug Screen,CTD2,12.81,13.485,13.6065,14.018,13.846,13.047,13.054,11.218,14.265,14.894,11.648,12.758,13.897,15.331,12.307,14.523,15.827,14.203,11.063,14.512,12.438,12.833,13.283,13.843,13.732,11.638,14.916,,12.933,13.106
QW-BI-011 (CTRP:362063),num,Drug Screen,CTD2,,,,,,,,,14.699,15,,14.263,14.675,15.663,,,,,,15.21,,,,,,,,,14.824,
BRD-K90370028 (CTRP:362207),num,Drug Screen,CTD2,14.817,14.855,13.93,14.849,14.808,14.257,13.809,14.873,,,,,,,,,14.694,,,,15.01,,15.197,,,,,15.157,,
SNX 2112 (CTRP:362338),num,Drug Screen,CTD2,9.6683,12.05,12.944,6.7943,11.561,11.375,13.54,9.7652,8.3227,14.307,9.9142,8.9784,13.782,10.417,9.1886,9.7129,13.803,10.651,6.482,12.31,7.6973,8.0354,12.784,8.786,13.122,7.7033,11.836,12.574,12.391,8.7474
NAVITOCLAX (CTRP:362342),num,Drug Screen,CTD2,13.057,14.719,10.8881,14.526,14.955,8.3673,14.355,13.35,10.816,13.91,15.618,15.834,14.053,13.703,14.6,13.83,14.808,15.807,11.492,14.822,11.735,14.63,13.96,12.891,11.04,15.334,14.635,15.922,15.207,15.289
DOXORUBICIN (CTRP:36599),num,Drug Screen,CTD2,5.7643,10.053,9.9766,4.8402,,11.441,9.2208,10.69,7.9493,8.5907,8.0351,8.6222,10.428,10.015,9.0604,7.7572,8.5192,9.221,3.544,11.589,8.3094,10.685,9.7346,5.8721,9.6702,7.7107,9.2075,8.8201,9.1587,4.2792
OUABAIN (CTRP:37190),num,Drug Screen,CTD2,3.6465,,6.58,1.0324,5.9665,6.5347,5.3747,8.3862,5.5095,6.5225,4.7357,6.1363,11.149,5.4881,6.7007,9.0256,2.5656,6.2197,4.7486,5.0638,4.2271,7.5318,4.1517,8.8528,7.3933,6.0619,10.355,,3.9392,4.5519
BEXAROTENE (CTRP:374747),num,Drug Screen,CTD2,15.324,13.576,15.5825,15.294,15.169,15,14.912,14.996,14.986,15.671,15,15.225,15,13.76,15.993,16.589,16.213,14.107,13.48,15.305,15.304,14.624,14.718,15.684,16.3,16.47,14.556,15.461,15.361,15
NILOTINIB (CTRP:374749),num,Drug Screen,CTD2,12.284,15.567,15.7935,14.513,16.622,15.566,12.619,14.801,14.54,15.57,12.6,14.942,15,14.471,14.195,15.274,14.758,15.308,12.21,15.474,12.886,14.797,12.075,15.898,16.191,14.512,14.686,,14.722,15.61
SU-11248 (CTRP:374750),num,Drug Screen,CTD2,14.266,13.172,11.739,10.237,11.295,12.964,11.771,12.393,12.912,13.189,11.925,12.27,12.851,13.168,12.64,10.509,11.422,13.019,11,11.426,11.501,13.071,11.703,11.64,11.733,12.331,11.952,13.724,12.823,12.836
BENDAMUSTINE (CTRP:374755),num,Drug Screen,CTD2,14.571,15.577,14.6135,14.612,14.255,14.721,14.032,14.903,15.111,15.35,14.146,15.097,16.94,15,14.499,17.628,13.485,14.162,11.249,15.89,12.647,12.532,15.025,14.042,17.186,11.813,15.942,,14.924,14.229
BRD9647 (CTRP:37479),num,Drug Screen,CTD2,14.662,14.895,14.5675,13.533,14.325,14.321,14.026,14.632,14.769,14.318,14.619,14.458,14.214,14.538,14.119,14.294,14.033,14.25,13.892,13.846,14.466,14.732,15.352,14.531,14.605,14.929,14.806,15.735,14.696,14.644
OMACETAXINE MEPESUCCINATE (CTRP:375219),num,Drug Screen,CTD2,4.8277,7.7384,7.2217,2.279,7.4438,7.8509,5.3552,9.9324,,,8.5759,,,,9.5787,9.8749,4.7936,6.8632,4.4493,,6.7988,9.9904,7.7282,8.1329,11.343,7.5466,8.8846,7.1977,,4.9458
CD-437 (CTRP:375256),num,Drug Screen,CTD2,9.7948,11.196,12.999,10.38,12.673,12.914,13.127,12.213,11.566,14.115,11.031,12.773,14.384,12.255,11.233,11.475,13.382,13.777,,11.125,11.706,12.984,11.673,10.786,11.459,10.966,12.504,,11.167,12.082
SCH-79797 (CTRP:375264),num,Drug Screen,CTD2,6.7784,11.957,10.9415,8.379,12.272,13.427,10.42,10.117,10.428,10.961,10.72,9.2217,11.717,10.999,10.428,13.6,11.371,8.9516,8.1531,10.81,10.915,10.164,11.028,9.871,10.355,10.929,11.37,12.72,9.0654,8.712
LE-135 (CTRP:375354),num,Drug Screen,CTD2,13.414,13.136,13.8465,10.931,14.737,13.004,13.662,13.796,14.806,15.195,12.692,13.195,14.816,16.166,12.433,15.221,12.934,14.571,13.082,16.408,12.588,13.441,14.158,14.155,12.945,14.135,14.048,,13.139,13.917
SKI-II (CTRP:375366),num,Drug Screen,CTD2,14.253,14.678,13.967,15,14.508,15.608,15.415,14.661,14.411,14.508,15.259,16.181,13.756,15.106,14.766,13.896,12.857,14.378,14.071,14.502,14.561,14.946,14.864,14.526,13.564,16.55,13.792,13.396,15.896,14.712
CI-976 (CTRP:375390),num,Drug Screen,CTD2,13.263,14.834,14.402,14.756,13.524,14.624,12.694,14.92,15,15,13.019,15.675,15.627,15,15.52,15,12.071,14.607,12.867,15,14.494,15.666,11.043,15.295,14.594,15,15.051,14.989,15.65,15.35
PLATIN (CTRP:375395),num,Drug Screen,CTD2,15.231,14.942,14.508,14.515,15.108,15.326,14.803,15,14.906,14.558,14.861,14.076,16.028,13.259,15.208,13.621,15.65,14.617,14.24,15.184,14.775,14.619,14.565,15,14.996,14.254,14.928,14.998,13.763,14.546
NECROSTATIN-1 (CTRP:375435),num,Drug Screen,CTD2,14.546,14.29,14.1375,11.937,14.172,14.141,14.747,14.633,14.343,13.516,13.958,14.227,14.42,14.221,14.217,12.453,14.931,13.519,13.671,13.754,14.563,14.365,14.43,14.364,13.416,13.727,13.025,14.685,14.697,14.285
GW-405833 (CTRP:375447),num,Drug Screen,CTD2,14.315,14.93,13.673,12.441,13.875,13.437,13.56,13.807,14.627,13.49,12.998,14.239,12.944,14.33,13.575,13.577,13.65,13.228,12.361,13.523,14.249,13.923,14.237,13.029,12.895,13.541,13.996,,14.227,13.331
AC55649 (CTRP:375487),num,Drug Screen,CTD2,14.729,14.597,14.6235,,14.963,14.461,14.633,14.988,14.139,14.869,14.38,15.255,15,14.561,14.745,14.886,15.374,15,15.099,14.683,10.715,14.815,14.893,14.339,15.664,15,14.2,15.461,14.847,15.046
RITA (CTRP:375492),num,Drug Screen,CTD2,12.503,14.375,14.042,12.888,12.016,9.76,8.6077,13.495,14.686,12.676,13.188,15.273,9.7746,15.043,14.625,,4.0296,12.158,10.414,14.727,13.278,14.716,9.2515,9.6633,14.344,14.754,14.469,13.798,15.465,13.927
LY-2183240 (CTRP:375496),num,Drug Screen,CTD2,11.289,13.058,13.054,11.425,13.647,12.982,10.266,13.507,13.84,13.178,12.87,13.264,13.954,14.235,13.276,14.999,13.311,13.974,11.241,13.528,12.743,12.426,12.103,12.546,13.035,12.892,13.694,,12.236,12.362
KI8751 (CTRP:375560),num,Drug Screen,CTD2,13.432,15.251,15.594,13.312,14.999,13.142,13.302,14.973,15.522,15.623,14.243,12.893,15,14.997,16.29,15.953,17.877,14.898,11.272,15,10,15,14.577,15.196,16.334,16.069,15.703,14.562,14.711,15.767
CD-1530 (CTRP:375562),num,Drug Screen,CTD2,12.05,14.749,14.2345,13.802,15,14.237,13.982,15.88,15.254,14.643,11.836,15.745,13.168,12.873,14.161,14.251,13.168,13.927,9.8842,14.758,12.773,14.474,14.404,13.637,13.857,13.61,14.016,,12.42,13.792
