depmap_id,Data_Type,Category,Sub_Category,ACH-000001,ACH-000048,ACH-000091,ACH-000116,ACH-000132,ACH-000291,ACH-000430,ACH-000443,ACH-000524,ACH-000527,ACH-000574,ACH-000617,ACH-000657,ACH-000663,ACH-000688,ACH-000696,ACH-000704,ACH-000713,ACH-000719,ACH-000811,ACH-000885,ACH-000906,ACH-000947,ACH-001063,ACH-001151,ACH-001374,ACH-001418,ACH-001630,ACH-002140,ACH-002149,ACH-002181,ACH-002182
MK-0683 (GDSC1:1012),num,Drug Screen,GDSC1_AUC,0.870540389,0.636695454,0.771972296,0.773535432,0.866855534,0.677143578,0.722823856,0.979869167,0.886252168,0.592514794,0.885642109,0.8047144,0.777380232,0.70240797,0.805326146,0.72585588,0.799257363,,0.826636401,0.900733284,0.672621948,0.799907077,0.574067023,0.799388638,0.580477492,0.501738224,0.874957409,0.883061668,0.64373879,0.871644011,0.859433848,0.844151431
NILOTINIB (GDSC1:1013),num,Drug Screen,GDSC1_AUC,,0.962351659,,,,0.894699385,0.967496965,,,0.927998499,,0.987962474,,0.941746972,0.891667686,,,,,,0.931251463,0.975161812,0.976668456,,,,0.998644311,,0.908805767,,0.989635615,
BAY 869766 (GDSC1:1014),num,Drug Screen,GDSC1_AUC,0.917316945,0.977326251,0.778521031,0.945052822,0.660767701,0.468920892,0.658130296,0.913647764,0.907489582,0.828609831,0.890752087,0.865820439,0.96851655,0.847365148,0.877821217,0.85499268,0.884906212,,0.92068527,0.91785551,0.837389631,0.719314509,0.723864997,0.746182153,0.585313377,0.957741668,0.921342263,0.871695591,0.693662105,0.785638414,0.661477202,0.707185425
212631-79-3 (GDSC1:1015),num,Drug Screen,GDSC1_AUC,0.935618105,0.856049807,0.828222424,0.948286758,0.771632124,0.543434484,0.627378005,0.94804888,0.935615585,0.786272909,0.832779031,0.836547181,0.732382232,0.842134958,0.776109565,0.879297453,0.845252591,,0.956253896,0.955317743,0.819401015,0.82569203,0.688323264,0.825018832,0.68390934,0.858683252,0.935774796,0.955588968,0.778575757,0.874942418,0.910488271,0.807057905
AY-22989 (GDSC1:1016),num,Drug Screen,GDSC1_AUC,0.897016229,0.669986511,0.658034792,0.887301897,0.772815944,0.624464301,0.469431209,0.885394239,0.871519292,0.773206805,0.887850665,0.7862131,0.663844782,0.693194213,0.776154694,0.700351305,0.880351743,,0.903254703,0.71692743,0.568704077,0.806325152,0.494186331,0.731687813,0.740310429,,0.851471129,0.854779799,0.707086987,0.812358802,0.937567064,0.712652359
OLAPARIB (GDSC1:1017),num,Drug Screen,GDSC1_AUC,,0.911425183,0.962636444,0.937483019,0.972793591,0.978373747,0.947399414,,,0.922720144,0.988324748,0.976511527,0.935917369,0.955476286,0.912568748,0.949103604,0.982375349,,,,0.807937387,0.988689472,0.882088016,0.99993236,0.998088113,0.879440791,0.978055943,,0.924570256,,,0.998078896
ABT 888 (GDSC1:1018),num,Drug Screen,GDSC1_AUC,,0.94239642,0.99420348,0.829933108,0.983166609,0.978899066,0.992838073,,0.971131818,0.938619726,,0.973459067,0.942234333,0.976851653,0.89857501,0.952357779,0.997431647,,0.976123631,,0.935213584,,0.972388069,,,,0.998820329,,0.969814702,,,
BOSULIF (GDSC1:1019),num,Drug Screen,GDSC1_AUC,0.953402123,0.872717751,0.995216853,,0.88902476,0.972750475,0.924743948,0.963250791,0.995009732,0.864504529,0.943468649,0.884042251,,0.766209257,0.998449759,0.942746988,0.978695469,,0.942745849,0.847556169,0.778680346,0.834954655,0.970214112,0.828538317,0.95713467,0.922669289,0.943319197,0.918890405,0.694746952,0.954903614,0.941850939,0.923723906
LENALIDOMIDE (GDSC1:1020),num,Drug Screen,GDSC1_AUC,0.967799027,,,,0.988153746,0.977710289,0.995477444,,,0.931102707,0.981507087,0.978344694,0.901307052,0.98100742,0.945378916,0.961949782,,,0.994426135,,0.935011527,,0.934534963,,,0.950974703,,,0.95639149,0.995377896,0.982929272,
AG-13736 (GDSC1:1021),num,Drug Screen,GDSC1_AUC,,0.939458174,0.95999451,,0.947933708,0.956217536,0.997476187,,0.980379044,0.992751952,,0.923385525,0.852967744,0.927023921,0.97116946,0.996318931,0.946521202,,0.958454801,0.98444869,0.920428386,0.958276483,0.84069321,0.973270028,0.924516554,0.928842923,0.985977108,0.921808599,,0.941393273,0.997469321,0.932537497
AZD7762 (GDSC1:1022),num,Drug Screen,GDSC1_AUC,0.697482994,0.723417285,0.760580684,0.801398163,0.779637224,0.732546476,0.71312369,0.795003787,0.808985977,0.656273171,0.877049786,0.696241283,0.825742773,0.590988313,0.806099625,0.753039011,0.866592207,,0.853289842,0.745275182,0.655301422,0.575525312,0.661217971,0.659824842,0.642528313,0.880803804,0.808160331,0.592751321,0.608718304,0.730901861,0.842693248,0.71370771
GW 441756 (GDSC1:1023),num,Drug Screen,GDSC1_AUC,,0.981027426,0.959089667,,0.961104341,,0.984738345,0.822747833,0.931937086,0.982298337,0.976767468,0.936914164,,0.943708205,0.995260369,,0.964058994,,0.919370145,0.961302993,0.977501912,0.919442056,0.922909449,0.934603393,0.825328712,,0.969169213,0.803752632,0.844319209,0.92037012,,0.922967534
A-154475 (GDSC1:1024),num,Drug Screen,GDSC1_AUC,0.817352458,,0.788902791,0.873347201,,0.803344212,0.64903681,0.951221281,0.83853156,0.732003755,0.945901392,0.838232832,0.603782006,0.648582525,0.91439625,0.792137637,0.736734537,,0.914463842,0.698149557,0.451062467,0.658453741,0.830738595,0.512660079,0.795030325,0.627365282,0.856470784,0.733674684,0.575896768,0.614746603,0.867370202,0.686818184
SB 216763 (GDSC1:1025),num,Drug Screen,GDSC1_AUC,,,0.991262799,,0.983843233,,0.980768213,,,0.961877199,0.935449198,0.989096004,,0.994684077,0.954388325,0.972698478,,,,0.989541933,,,,0.983220314,,0.988534111,0.981994811,,,,,
17-AAG (GDSC1:1026),num,Drug Screen,GDSC1_AUC,0.841536242,0.714899051,0.67823264,0.998692777,0.919091079,0.513568273,0.585011235,0.884730805,0.923510751,,0.958656759,0.944952629,0.710937564,0.723034326,0.731199224,0.642780432,0.899129894,,0.947319757,0.738856323,0.298548541,0.911595504,0.674182278,0.479212802,0.62804043,0.928179093,0.974482596,0.811398736,0.49704507,0.893671627,0.804552722,0.633037332
VX 702 (GDSC1:1028),num,Drug Screen,GDSC1_AUC,0.976934189,0.96107322,0.98983893,,0.970046494,0.96305467,0.977837962,,0.973054659,0.86908754,,0.962297882,0.880866741,0.960206567,0.863311558,,0.999316022,,,,0.936875635,0.992367411,0.966624376,0.987216464,,0.990388476,,,0.995338305,,,0.999386487
AMG 706 (GDSC1:1029),num,Drug Screen,GDSC1_AUC,0.969607171,,0.883210196,0.866689039,0.90972813,,0.970568772,0.915574092,0.966149508,0.924575363,,0.97383016,0.984656045,0.913324608,0.971021832,,0.980369893,,,0.918293483,,,,,,0.978581955,0.96661113,,0.938215041,,,
KU-55933 (GDSC1:1030),num,Drug Screen,GDSC1_AUC,0.966069894,0.944203524,0.957974303,0.979568588,0.912138743,0.995619921,0.922732399,0.997519136,0.978127968,0.863246524,0.967478556,0.959696363,,0.897866832,0.863225172,0.951881715,0.976297397,,0.942111444,0.959637875,0.965735954,,0.896884436,0.968837206,0.998293393,0.985995962,0.961059066,0.995384079,0.909903689,0.972382267,0.977778444,0.978963522
ELESCLOMOL (GDSC1:1031),num,Drug Screen,GDSC1_AUC,0.866362437,0.526591605,0.62134869,0.760918135,0.410542901,0.546647071,0.593034093,0.780581687,0.799970981,0.528613825,0.701479925,0.445790071,0.456957507,0.403360438,0.782252307,0.380842381,0.823124784,,0.904988824,0.524230249,0.512190335,0.583004285,0.654800185,0.328954779,0.326297426,0.550243215,0.79883711,0.62202783,0.357891149,0.844809277,0.729318928,0.544204001
AFATINIB (GDSC1:1032),num,Drug Screen,GDSC1_AUC,0.912821518,0.847815202,,0.967595633,0.741260226,0.991675483,,0.964031869,0.938947714,0.794323597,0.89734106,0.947557565,0.950024908,0.789652367,0.973219972,0.94166709,0.945707079,,0.923651922,0.8793283,0.922779764,0.998092251,0.993900481,0.826722554,0.977028249,,0.825301779,0.84378993,0.99829917,0.999052012,0.669553473,0.918720899
VISMODEGIB (GDSC1:1033),num,Drug Screen,GDSC1_AUC,,0.964191626,0.976152409,,,0.99479261,0.989104388,,,0.955788962,0.959135482,0.973503445,,0.987692324,0.928523747,0.966373867,0.999918278,,,,0.959243806,0.987903291,0.973938501,0.998117202,,0.970669466,0.998608341,,0.977229764,0.991578014,,
PLX 4720 (GDSC1:1036),num,Drug Screen,GDSC1_AUC,0.970836379,0.984102209,0.921891296,0.991879881,0.907010641,0.98066965,0.871444662,,0.986404855,0.807978709,,0.988111177,0.953928568,0.892566372,0.86470907,0.914227161,0.971405622,,,0.981362795,0.826099079,0.880663308,,0.934615338,0.9997053,0.850784293,0.977248773,0.998300277,0.894740843,0.940637792,,
BX-795 (GDSC1:1037),num,Drug Screen,GDSC1_AUC,0.903424131,0.833457752,0.904208548,0.913096286,0.852256423,0.889348909,0.886799771,,0.960772958,0.90252021,0.965745166,0.927274766,0.937270215,0.825243837,0.791871105,0.883989289,0.924476447,,0.992779593,0.928892404,0.693798008,0.921795014,0.908176545,0.875718969,0.834841655,0.748207791,0.968290946,0.929565531,0.778957157,0.869526159,0.995755337,0.865791682
KU-57788 (GDSC1:1038),num,Drug Screen,GDSC1_AUC,0.964406707,0.898775497,0.925312217,0.999866803,0.921200319,0.962087948,0.932745848,0.986230342,0.96657257,0.887278858,0.974585333,0.960195943,0.986549554,0.9199042,0.892679217,,0.948613695,,0.908796058,0.954297812,0.989130308,0.986720709,0.931972995,0.92945754,,0.956650067,0.980083543,0.996389042,0.954978304,0.908921824,0.995211907,0.970383379
SL 0101-1 (GDSC1:1039),num,Drug Screen,GDSC1_AUC,0.977511727,0.972387215,0.99903243,0.950004268,,,,,0.988885183,,0.947791548,0.99800669,,0.953422648,,0.895195468,0.989722886,,0.915515681,0.949455451,0.984098801,0.992903508,0.965403718,0.991905645,,0.980749967,,,0.910502259,0.952058375,,0.99893069
BORTEZOMIB (GDSC1:104),num,Drug Screen,GDSC1_AUC,,,,,,,,,0.58969639,,,0.357453097,,,,,,,,,,0.652017437,,,,,,,,0.652366164,,
BIRB 796 (GDSC1:1042),num,Drug Screen,GDSC1_AUC,0.970204651,,,0.937211961,,0.906267229,0.981310525,,0.949791656,,,0.89126695,,0.912918023,,0.90005424,,,,,0.993316814,,0.901095384,,,,,,0.865697634,,,
JNK INHIBITOR VIII (GDSC1:1043),num,Drug Screen,GDSC1_AUC,0.984339238,0.967509572,0.814908702,0.942879825,,0.986088134,0.953190812,0.948665477,0.969713215,,0.981826685,0.973185694,0.974891355,0.819986391,0.928617781,,0.977521792,,,0.912254241,0.932539999,0.963635019,0.910227155,0.930490429,,,0.950642965,0.934828026,0.961644246,0.985744306,0.998840818,0.973144441
681640 (GDSC1:1046),num,Drug Screen,GDSC1_AUC,0.867290319,,,0.852575393,,,,,0.987644763,,,,,,,0.849435529,,,,0.900530019,,0.964552201,,,,0.935304202,,,,0.903398338,,
NUTLIN-3A (-) (GDSC1:1047),num,Drug Screen,GDSC1_AUC,0.924726517,0.910807369,0.966226257,,0.919936148,0.960575052,0.9679167,,,0.801789978,0.965766852,0.976386572,0.974793038,0.820541463,0.941615146,,0.988906521,,0.852706475,0.92990028,0.787137442,,0.805798815,0.904165978,,0.720851659,0.992723615,,0.796835138,0.820646888,,0.869212487
MIRIN (GDSC1:1048),num,Drug Screen,GDSC1_AUC,0.772787206,0.898748392,0.986291568,0.722526286,0.965253313,0.969682877,0.92304136,,0.926454856,0.976947609,0.870824973,0.921907095,0.896174925,0.997235662,,0.948328319,0.872420576,,0.828018254,0.965264363,0.978121304,,0.943346012,,0.916008685,,0.950773925,0.786452846,,0.962133084,0.965462613,0.786218522
PD 173074 (GDSC1:1049),num,Drug Screen,GDSC1_AUC,,0.884292188,0.965854856,,0.963312825,,0.955400773,,,0.884235049,0.962562506,0.977007513,0.959113806,0.958284947,0.912073655,0.977236393,0.95674469,,0.982792772,0.930961054,0.938836989,,0.891675605,0.978747312,,0.998879558,0.990681389,,,0.957153045,,0.971368443
ZM 447439 (GDSC1:1050),num,Drug Screen,GDSC1_AUC,0.849514046,0.830131587,0.966605341,0.779537752,0.918329604,0.921071616,0.894481338,,0.994927573,0.835705222,0.969502832,0.939772641,,0.911348764,0.903117584,0.898002057,0.973408722,,0.900558075,0.917736198,0.81821955,0.941608219,0.789501008,0.911203662,0.935877924,,0.998273504,0.923812237,0.869957921,0.922257167,,0.947478283
RO-3306 (GDSC1:1052),num,Drug Screen,GDSC1_AUC,0.871776734,0.958161001,0.968391687,0.933407452,0.947960834,,0.979592933,0.943204912,0.966882269,0.925997526,0.963460002,0.922999027,0.991344386,0.949232837,0.992234444,0.971039462,0.963729695,,0.864742368,0.901714051,0.925926569,0.908773428,0.864112158,0.937418469,0.910375096,0.88269114,0.966535012,0.919997384,0.93933719,0.968488145,0.996712765,0.986450436
MK 2206 (GDSC1:1053),num,Drug Screen,GDSC1_AUC,0.766052275,0.972512463,0.931705763,,0.765087767,0.75564173,0.843432543,0.872232224,0.842767717,0.714115741,0.93784514,0.890980486,0.980751402,0.676749517,0.849925596,0.952086466,0.728118332,,,0.770069599,0.932870626,0.866879457,0.636552902,0.848924623,0.821800743,0.87033263,0.841791883,0.792961651,0.766078778,0.902801248,0.927079583,0.834537668
PALBOCICLIB (GDSC1:1054),num,Drug Screen,GDSC1_AUC,0.854142918,0.781043224,0.745788775,0.901411863,0.806130355,0.912373824,0.694822996,0.901343976,,0.937507613,0.991052694,0.96602039,0.974563074,0.688101158,0.967131093,0.929495498,0.990291902,,0.697999856,0.786772783,0.807561399,0.782718794,0.804228346,0.666432046,0.687262455,0.759349774,0.989438421,0.803782778,0.647275538,0.814569163,0.959406662,0.875612657
BEZ235 (GDSC1:1057),num,Drug Screen,GDSC1_AUC,0.86522458,0.738212793,0.673667095,0.875225385,0.741016724,0.564415455,0.573008039,0.934646841,0.836871077,0.729520361,0.897440364,0.768753442,0.845007249,0.651255898,0.744255337,0.700476602,0.799091809,,0.885111227,0.78413358,0.468342197,0.784903225,0.609113097,0.645912867,0.709155211,0.656873899,0.846853762,0.842424794,0.55699265,0.77866158,0.843157061,0.739279291
PICTILISIB (GDSC1:1058),num,Drug Screen,GDSC1_AUC,0.898998391,0.852077342,0.894225425,0.893470438,0.645644488,0.832693426,0.793790715,0.902799425,0.825271526,0.602432391,0.857801297,0.900775066,0.876950109,0.614159963,0.714525344,0.85367807,0.748621596,,0.935572122,0.79987693,0.842759312,0.946846091,0.69427542,0.746734458,0.748088241,0.8019496,0.825584349,0.898323088,0.764137879,0.953491844,0.769708374,0.758080689
AZD-8055 (GDSC1:1059),num,Drug Screen,GDSC1_AUC,0.8464449,0.719748454,0.918960773,0.838061057,0.815156385,0.792500139,0.731796417,0.94325437,0.907949645,0.72983352,0.957228123,0.802865015,0.891151273,0.695079466,0.836551988,0.881373888,0.782137998,,0.893181554,0.797777066,0.80074124,0.844759216,0.704084754,0.786873112,0.754106794,0.778930066,0.890335378,0.918078456,0.640266587,0.821570407,0.858654457,0.816696138
ERK5-IN-1 (GDSC1:106),num,Drug Screen,GDSC1_AUC,,,,,,,,,0.920402241,,,0.965223097,,,,,,,,,,0.992174201,,,,,,,,0.829878913,,
PD 0325901 (GDSC1:1060),num,Drug Screen,GDSC1_AUC,0.88465564,0.896787082,0.796419597,,0.643246367,0.479693258,0.616374789,0.802330177,0.906577596,0.862621541,0.882808683,0.800411698,0.96126569,0.847796773,0.800716371,0.923746289,0.833495181,,0.706584035,0.852552837,0.84733651,0.670561555,0.6345074,0.648846936,0.532841222,0.977044429,0.85290915,0.740996791,0.816431081,0.801441672,0.665435933,0.66802091
SB-590885 (GDSC1:1061),num,Drug Screen,GDSC1_AUC,,0.934689048,0.980018176,0.937248144,0.970453777,0.798551801,0.838389773,,,0.866363749,,0.998544455,,0.949741349,0.860846113,,0.998334967,,0.963298763,,,0.904200739,,,0.920166353,0.986302974,0.999209227,,0.830724805,,,
ARRY-886 (GDSC1:1062),num,Drug Screen,GDSC1_AUC,0.930237798,0.917198397,0.850240323,0.733354624,0.961373263,0.939160566,0.952543978,,0.976463503,0.868896751,0.852622972,0.881188598,,0.862076784,0.932063787,0.918785349,0.98915111,,0.888056233,0.908051498,0.934835647,0.796374828,0.924688461,0.77876944,0.96224807,0.965467735,0.984750716,,0.765166351,0.910175688,0.821272412,0.990785772
AK-55409 (GDSC1:1066),num,Drug Screen,GDSC1_AUC,0.784002522,0.850089545,0.907673256,0.831902734,0.856868862,0.912442722,0.918260235,0.994617608,0.912939609,0.927162224,0.893867441,0.825390239,0.821028596,0.756254316,0.773804592,0.936965973,0.905354801,,0.952269253,0.899231583,0.854205037,0.995541677,0.861188447,0.86230914,0.996199815,0.876856639,0.917191053,,0.938922307,,0.965717918,0.891607953
CCT007093 (GDSC1:1067),num,Drug Screen,GDSC1_AUC,,0.925301373,,0.979484306,0.98553062,,,0.998643165,,0.974297256,0.8773109,0.988864178,0.93845678,0.95583045,,,0.979699813,,0.932100357,0.991166788,0.87947934,0.992428947,0.947185279,0.990394466,0.988400939,0.979089097,0.977495984,,,,0.994954405,0.954587771
EHT 1864 (GDSC1:1069),num,Drug Screen,GDSC1_AUC,0.96465449,,0.933401492,0.943775344,0.989277166,0.939058677,0.959420763,0.997651634,,0.973917541,,0.964627963,0.840872545,0.905864385,0.969329861,0.959315881,0.977989006,,0.821203459,0.991436569,0.815755724,0.996378687,0.928550758,0.920414879,0.97994089,0.917503682,0.980567358,0.999251271,0.910806417,0.893416169,0.985238992,0.966040497
AVAGACESTAT (GDSC1:1072),num,Drug Screen,GDSC1_AUC,0.993131834,0.983892415,,0.930611213,0.987631774,0.998162714,0.992850414,0.979869548,,0.930178169,0.933101904,0.97682482,0.897392477,0.951919726,0.986063884,,0.938853041,,0.966945804,,0.928441116,0.995397344,,0.985969341,,,0.993603159,,0.921277363,0.898469487,0.980041357,0.897528061
BMS 536924 (GDSC1:1091),num,Drug Screen,GDSC1_AUC,0.937270119,0.866789789,0.985323101,0.932213311,0.955304608,0.820667401,0.996227629,0.982696048,0.946761212,0.952793732,0.850282697,0.9650561,0.988212087,0.912459978,0.839759535,0.995840129,0.896807526,,0.910656395,0.962673764,0.972722822,0.998075885,0.974482902,0.836502384,0.808919012,,0.969679973,0.907356731,0.951983979,0.98448524,0.906957567,0.922968131
PACLITAXEL (GDSC1:11),num,Drug Screen,GDSC1_AUC,,,,,,,,,0.644229183,,,0.658996988,,,,,,,,,,0.894446992,,,,,,,,0.623341998,,
AL-39256 (GDSC1:110),num,Drug Screen,GDSC1_AUC,,,,,,,,,0.921417267,,,0.910985052,,,,,,,,,,0.97701668,,,,,,,,0.946941014,,
EIF-2ALPHA INHIBITOR (GDSC1:111),num,Drug Screen,GDSC1_AUC,,,,,,,,,0.971842904,,,0.897787297,,,,,,,,,,0.96935348,,,,,,,,0.938153254,,
C225 (GDSC1:1114),num,Drug Screen,GDSC1_AUC,,0.973254155,0.913080244,0.943712568,,,0.962325639,,0.903496434,0.991486482,0.739592505,0.977315748,,0.717624961,,,,,0.61376987,,,0.937543531,0.946601774,0.953221017,0.94016452,,0.794230864,0.966247041,,,0.729877255,0.766161824
PF 4708671 (GDSC1:1129),num,Drug Screen,GDSC1_AUC,0.929898257,0.917776987,0.973810903,0.940787041,0.981510031,0.958714945,0.898296794,,0.997562499,0.943594558,0.959591182,0.942139876,0.872575544,0.941826837,0.914720027,0.968766831,0.996272189,,0.841342929,0.90079915,0.90583173,0.953605408,0.912228244,0.928727163,0.973922365,,0.983036181,,0.951643188,0.932831255,0.975103738,0.978032511
JNJ-26854165 (GDSC1:1133),num,Drug Screen,GDSC1_AUC,0.877251832,0.87854382,0.902224949,0.9321084,0.955643789,0.956248454,0.842836289,0.987138916,0.932362644,0.930239268,0.859826712,0.870315697,0.915089958,0.841977963,0.93656033,0.813235139,0.98232916,,,0.943873673,0.882868043,0.963969289,0.906004285,0.920189612,0.863239398,0.822872734,0.951109819,0.984603522,0.892738939,0.67944291,0.980110826,0.98884135
HG-5-113-01 (GDSC1:1142),num,Drug Screen,GDSC1_AUC,0.785851955,0.741449294,0.912204759,,0.836292382,0.805035404,0.827398777,0.986263849,0.916785696,0.881270679,,0.797796972,0.807793722,0.786239233,0.623229199,0.826522847,,,,,0.739251549,0.983592685,0.855356827,0.648565881,,,0.941658076,0.725485293,0.804799522,0.827034612,0.863570338,0.780814929
HG-5-88-01 (GDSC1:1143),num,Drug Screen,GDSC1_AUC,0.934447997,,0.975397305,,0.915813479,0.867519982,0.982753745,0.966013089,0.979174182,0.966704008,,0.831078325,,0.867789276,,0.932169226,,,,,,,,0.87690556,,,0.945948479,0.865160064,,0.975160546,0.94993388,0.959254929
TW 37 (GDSC1:1149),num,Drug Screen,GDSC1_AUC,0.643710317,0.544825405,0.568841435,0.625905916,0.586913945,0.571629641,0.623870759,0.807457122,0.772381878,0.587635168,0.747589685,0.682836117,0.534472369,0.597320044,0.724181794,0.616896658,0.664490101,,0.575317901,0.656058354,0.40723028,0.578868757,0.402692151,0.623406297,0.704473658,0.383063833,0.758993228,0.563619717,0.551309722,0.610855472,0.777482264,0.678231537
XMD11-85H (GDSC1:1158),num,Drug Screen,GDSC1_AUC,0.987101191,0.905102155,0.990625286,,0.966147332,0.963961819,0.933636534,0.992520612,0.97574621,0.892349866,,0.983848737,0.997183259,0.905874964,,0.97532344,,,,,0.996698281,0.984081454,0.99405782,,,,0.994328656,0.954725856,,0.983182166,0.913735984,0.985815998
ZG-10 (GDSC1:1161),num,Drug Screen,GDSC1_AUC,0.71642669,0.755783881,0.947135691,,0.75781917,0.896496682,0.80911174,0.940869539,0.816520372,0.888752098,,0.834995422,0.811271024,0.858999284,0.88468252,0.793004847,,,,,0.747003197,0.975670586,0.822685477,0.683614268,,,0.838866468,0.678545102,0.748291173,0.803567678,0.965387972,0.779586623
XMD 8-92 (GDSC1:1164),num,Drug Screen,GDSC1_AUC,0.952540481,0.888521027,0.970085979,,0.908427366,0.931813456,0.975078406,0.877175806,0.906725409,0.962271496,,0.948896223,0.978444345,0.898743853,,0.890611666,,,,,0.906920494,,0.949945876,0.904688297,,,0.901218378,0.918803413,0.954674604,0.918234786,0.9519745,0.865319262
QL-VIII-58 (GDSC1:1166),num,Drug Screen,GDSC1_AUC,0.338545582,0.417694051,0.637801058,,0.475125431,0.490361251,0.398466576,0.711601647,0.429926579,0.647285265,,0.426450153,0.480024061,0.683716824,0.507169748,0.521061446,,,,,0.367178359,0.725557354,0.423297267,0.38669293,,,0.595998537,0.351098217,0.33292693,0.48782173,0.779875804,0.388935811
CCT 018159 (GDSC1:1170),num,Drug Screen,GDSC1_AUC,0.962099657,0.952152584,0.949508956,0.969056378,0.995186528,0.998056102,0.961056179,0.97441493,0.8828184,0.987902224,0.975220343,0.978988469,0.815907533,0.936214514,0.996617683,0.882614482,0.955066434,,0.999583627,0.965780857,0.955746039,0.967961305,0.96095404,0.911775729,0.908676356,0.855425664,0.973331263,0.954957809,0.880306813,0.945778033,0.997125731,0.95966207
