Feature,Data_Type,Category,Sub_Category,ACH-000001,ACH-000048,ACH-000091,ACH-000116,ACH-000291,ACH-000430,ACH-000443,ACH-000524,ACH-000527,ACH-000574,ACH-000617,ACH-000657,ACH-000663,ACH-000696,ACH-000704,ACH-000719,ACH-000811,ACH-000885,ACH-000906,ACH-000947,ACH-001063,ACH-001151,ACH-001374,ACH-001630,ACH-002140,ACH-002149,ACH-002181
284461-73-0 (GDSC2:1085)_Sanger,num,Drug Screen,GDSC2_Sanger,2.842153846,2.861509734,,,3.22065018,3.134477067,,,2.596697494,,,1.83543073,,2.526705917,,,,,3.009095614,,-1.621515657,,3.023866997,,,3.262428627,
IRINOTECAN (GDSC2:1088)_Sanger,num,Drug Screen,GDSC2_Sanger,,1.57837565,,,,2.874220526,,,,,,3.278252728,,,,,,,2.058907087,,2.279588212,,,,,1.630886938,
ELOXATIN (GDSC2:1089)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,1.737094388,,,,,,,,,,,,,,,
BMS 536924 (GDSC2:1091)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,2.872703928,2.653470506,,,,,,,,3.202533478,,1.204016306,,,2.649339663,3.315079067
APR-246 (GDSC2:1131)_Sanger,num,Drug Screen,GDSC2_Sanger,,,4.663791043,,,,,,4.795180227,,,3.417738259,4.809608496,,,,,3.05066131,,3.519185849,4.814803104,3.911471498,1.950531461,,,,
ERLOTINIB (GDSC2:1168)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.627827261
NIRAPARIB (GDSC2:1177)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,,,,,,,,,,1.871316188,,,,
ADAVOSERTIB (GDSC2:1179)_Sanger,num,Drug Screen,GDSC2_Sanger,-0.048538403,1.760031581,,,,0.147550719,,3.098472585,2.026445063,,1.642180301,-0.190357541,,-0.44530476,,2.718744901,,-0.22323148,-0.252446502,,-0.460289086,,0.370928001,,1.319276261,,2.27807837
DINACICLIB (GDSC2:1180)_Sanger,num,Drug Screen,GDSC2_Sanger,,-5.744537238,,,,,,,,,,-5.693182703,,-3.305338494,-2.805856206,,,-5.70824225,,-5.299913296,-6.131063132,-4.996459135,-5.563580169,,,,
GEMCITABINE (GDSC2:1190)_Sanger,num,Drug Screen,GDSC2_Sanger,,-5.811032951,,,,,,,,,,-6.472681135,,-6.389144758,,,,,-6.078483172,,-6.985723296,,-2.158655674,-1.805691712,-4.676361674,-6.613996492,
BORTEZOMIB (GDSC2:1191)_Sanger,num,Drug Screen,GDSC2_Sanger,-7.158968688,,-6.120159303,-7.509130479,-6.389975468,-7.81583367,,-5.790675915,-7.322886731,,-6.216624829,-7.428917329,-6.878819788,-6.335564016,,-7.250741856,-5.777605732,-8.736663256,-7.098970275,,-5.917866925,-6.533857272,-6.808921095,-5.910612421,,-6.549767351,-7.11474362
YK 4-279 (GDSC2:1239)_Sanger,num,Drug Screen,GDSC2_Sanger,1.427591971,,,,,,,,,,,0.803095393,,1.301273384,,,,,,,,,,,,1.817586135,
APO866 (GDSC2:1248)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,-6.625580443,,,-6.786180996,,,,-8.586687927,,,,,-6.65307843,,,,-7.867664754,-8.664928567,,-4.883203834,,-6.225987341,
BMS-345541 (GDSC2:1249)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,3.247107461,,,,,,,,,,,,,,,
AZ 960 (GDSC2:1250)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,0.322863336,,,,,,,,,1.683922897,,0.211082169,,,,
TALAZOPARIB (GDSC2:1259)_Sanger,num,Drug Screen,GDSC2_Sanger,,0.558580578,,,,,,,,,,,,,,,,,,,,,,,,,
ELLENCE (GDSC2:1511)_Sanger,num,Drug Screen,GDSC2_Sanger,,-3.575227465,,,,-1.254336697,,-0.159375358,-0.858705249,,,-4.017373785,-0.432416112,-1.338102724,,-0.475388343,,-1.490573359,-1.504471595,,-3.028338396,,-1.03330952,,-2.96652119,-2.292927685,
PEVONEDISTAT (GDSC2:1529)_Sanger,num,Drug Screen,GDSC2_Sanger,,0.036027107,,,,-2.53476132,,,,,,,,-0.652502896,,,,-2.411220306,0.633800425,,-3.322087718,,1.864865673,2.098397745,,1.800820841,
GSK-2141795 (GDSC2:1553)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,1.680493828,,,,,,-0.473450705,,,,,-0.553283899,,,,
LAPATINIB (GDSC2:1558)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,3.266010765,,,,,,,,,3.196356147,,3.040552084,,,,
AUY (GDSC2:1559)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,-6.747320821,,,,,,-5.673993192,,,,,-6.636426542,,-3.444800256,-5.778328031,
TASELISIB (GDSC2:1561)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,-0.728746598,,,,,,,,,,,,,,,
ARAVA (GDSC2:1578)_Sanger,num,Drug Screen,GDSC2_Sanger,,,5.376502499,,,,,,,,,,,,,,,,,,,,,,,,
ENTINOSTAT (GDSC2:1593)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,2.327007036,,2.417142518,,,,,1.860528795,,,2.700818674,0.819696215,,2.830132743,,2.852582164
WZ 4003 (GDSC2:1614)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,,,,,2.876367271,,,,,1.666625423,,,,
AOB5560 (GDSC2:1617)_Sanger,num,Drug Screen,GDSC2_Sanger,,3.275671976,,,,,,2.869426831,,,3.229270984,2.185967083,,0.14155655,,,,-2.514346266,3.27618415,3.32033665,3.231104242,3.213009236,1.47025783,,,,
GSK525762A (GDSC2:1624)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,,,,,,,,,,0.37210526,,,,
BIRABRESIB (GDSC2:1626)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,,,,,,,,,,-2.33587384,,,,
ENTOSPLETINIB (GDSC2:1630)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,,,,,,,,,,2.898439233,,,,
BIIB-057 (GDSC2:1631)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,3.203899213,,,,,,,,,3.045988267,2.659487667,1.464095878,,,,
CRA-032765 (GDSC2:1799)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,,,,,,,,,,2.061474682,,,,
ACETALAX (GDSC2:1804)_Sanger,num,Drug Screen,GDSC2_Sanger,-1.52124851,,,,,,,,-1.640217228,,-1.602662146,,,,,,,,,,,,,,,,
ELOXATIN (GDSC2:1806)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,1.356531886,,,,,,,,,,,,,,,
TOPOTECAN (GDSC2:1808)_Sanger,num,Drug Screen,GDSC2_Sanger,,-2.439512224,-1.290078233,1.151970004,,,,,,,,-3.040948655,0.752672816,-1.192748183,-1.835679669,,,1.115995416,-2.806419294,,-1.627491655,-1.28185837,-0.333827281,-0.760218835,,,
TENIPOSIDE (GDSC2:1809)_Sanger,num,Drug Screen,GDSC2_Sanger,,-2.492575134,1.437540569,,,,,,,,,-2.745509355,,,,,,,,0.652447747,-1.35884738,,-1.102811274,0.70220467,,,
MITOXANTRONE (GDSC2:1810)_Sanger,num,Drug Screen,GDSC2_Sanger,,-2.613418228,,,,,,,1.431861806,,1.54077056,-5.027704311,0.669232218,-0.948555753,,,,,,,-1.042291402,-0.918016096,0.631494966,1.340731377,0.800846062,,
AC-DE (GDSC2:1811)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,-6.893921967,,,,,,,,,,,-7.357565346,,,,
FLUDARA (GDSC2:1813)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,2.355324405,,,,,,,,,,,4.277023297,,
VINCRISTINE (GDSC2:1818)_Sanger,num,Drug Screen,GDSC2_Sanger,-5.402837827,-6.063434342,,,,,,,,,,-6.462864882,,-4.942417788,0.297314609,,,-4.313067882,-2.262367067,-5.738874352,-4.346781761,,-6.50630514,-1.754414959,,,
DOCETAXEL (GDSC2:1819)_Sanger,num,Drug Screen,GDSC2_Sanger,-6.136640423,-5.384826899,,,,,,,,,,-6.256324837,,,,,,,0.492078759,,,,,,,,1.357425955
PODOPHYLLOTOXIN BROMIDE (GDSC2:1825)_Sanger,num,Drug Screen,GDSC2_Sanger,-2.834906002,-3.268144343,,,,,,,,,,-2.959052788,,-3.115966873,-0.941427947,,,-1.796322474,-1.541453154,-1.616903935,-1.056567219,,-3.301018684,,,,
DIHYDROROTENONE (GDSC2:1827)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,,,,,,,-3.50083348,,,,,,,
ELEPHANTIN (GDSC2:1835)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,3.197995509,4.090431051,4.25687651,4.194940834,,,2.645474506,4.182338189,3.716086318,,,2.61066727,,,,
BI-97C1 (GDSC2:1849)_Sanger,num,Drug Screen,GDSC2_Sanger,-2.072660721,-1.723965072,-1.511835182,-0.435792355,1.787044433,1.551455943,,,-2.928814527,,0.889203386,-4.540482921,-1.35634471,-1.778482484,-1.732563191,,,0.173941796,,-3.243033933,0.138061912,1.878289415,-1.1383596,,0.128660023,,
GTPL8020 (GDSC2:1855)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,,,,,,,,,,4.126687848,,,,
BDP-00009066 (GDSC2:1866)_Sanger,num,Drug Screen,GDSC2_Sanger,3.28557051,2.475124666,,,,2.640819885,,,,3.303826952,,1.325755227,,2.068491331,,,,2.677826147,,,2.050910734,,2.455376344,,2.354062495,2.469987972,
BKM120 (GDSC2:1873)_Sanger,num,Drug Screen,GDSC2_Sanger,1.917285181,0.648913743,,,,0.344498247,,,1.615485849,,,-0.115815035,1.977415961,1.788204412,1.199844068,,2.875175498,,2.268758493,,2.239438705,1.974805111,1.386194804,,1.099920039,0.469341384,1.036758083
BVD-523 (GDSC2:1908)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,1.007556687,,,,,,,,,,,,,1.951126539,,
ABT737 (GDSC2:1910)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,0.379249988,1.576493194,,,,1.789185746,,,,,,3.275972921,1.400903155,,,,,1.931156221,,2.313893017,,,,
AC-DE (GDSC2:1911)_Sanger,num,Drug Screen,GDSC2_Sanger,-7.120118588,-8.063371652,,-7.558253963,,-7.203718886,,,-6.661039428,,-6.107881303,-8.887767951,-6.483446975,-7.042069425,-3.311137328,-5.930940075,-2.40139894,-7.406613407,-5.878590024,,-8.40939669,,-7.894041853,,-7.919020152,-7.621177854,-4.560743086
AFURESERTIB (GDSC2:1912)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,1.819779299,,,,,,,,,,,,,,,
CAPIVASERTIB (GDSC2:1916)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,,,,,3.199324962,,,,,3.272475984,,,,
CERALASERTIB (GDSC2:1917)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,2.034500587,,,,,,3.290970623,,2.638892338,,,,,,,0.6568365,2.081381398,,,1.873714645,2.088534952,
AZD 2171 (GDSC2:1922)_Sanger,num,Drug Screen,GDSC2_Sanger,3.022385055,2.837607303,,,,,,,2.148201524,,,1.393761056,3.005834249,3.234859638,,2.463433288,,3.163115456,,,2.724204254,,2.275355007,,2.977798217,2.443421453,2.269456644
GNE 317 (GDSC2:1926)_Sanger,num,Drug Screen,GDSC2_Sanger,2.37537308,,2.082572512,,,-0.359692497,,,,,,-1.939973139,1.319010809,,,,,2.039289731,,,,,-0.616180339,,0.762329379,-1.517555464,0.31380821
MST 312 (GDSC2:1930)_Sanger,num,Drug Screen,GDSC2_Sanger,0.373391521,0.169539622,0.684558671,1.037911929,2.000900702,-1.125660187,,,,0.521794296,,-1.525476473,1.767498593,-1.351282561,,,,-0.66133064,,,-0.630419732,,0.28390905,,-0.379601795,-1.529703433,
NVP ADW742 (GDSC2:1932)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,3.050934276,,2.341410768,,,3.140818913,,,3.113136065,,,,3.303461995,,,,,,,2.619389877,,,3.319121092,
UMI 77 (GDSC2:1939)_Sanger,num,Drug Screen,GDSC2_Sanger,2.514634812,2.150951329,,2.924468901,,,3.207435998,,3.229918161,3.26902795,,2.716236489,,,,,,,,,2.313987039,,,,,3.108098805,
SEPANTRONIUM BROMIDE (GDSC2:1941)_Sanger,num,Drug Screen,GDSC2_Sanger,,,-3.882993578,-4.71278557,-5.994238775,-5.581492565,-1.372297738,-5.158511668,-5.388548837,,,-6.071774187,-3.018209359,-6.014658612,-1.82650891,-5.020401098,-6.15889909,,-3.507274402,,,-5.580496665,-4.493544423,-4.527586107,-5.000713718,-6.454223866,-1.060905157
WEHI-539 (GDSC2:1997)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,1.717199228,,,,,,,,,,,,,,,,,,,,,,,
EXEL-2880 (GDSC2:2040)_Sanger,num,Drug Screen,GDSC2_Sanger,3.320845372,2.618336345,,2.081940936,2.316421866,3.280219953,,,2.453828194,2.897077601,,-0.350458824,2.002524715,,,2.488624713,3.072134971,1.543243888,2.165464326,,1.608101921,2.354122616,0.326177123,,2.808411956,0.029652057,1.856604087
PYRIDOSTATIN (GDSC2:2044)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,2.418696792,,,,,,,,,1.547800657,,,,,,
EXELBINE (GDSC2:2048)_Sanger,num,Drug Screen,GDSC2_Sanger,,-6.678655978,,,,,,,,,,-7.494715488,,-5.672191112,,,,,-6.22423117,,-5.678468064,,-4.951868212,,,-5.831681561,
VX-11E (GDSC2:2096)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,,,,,,,,3.225581232,,,,,,
GSK-2141795 (GDSC2:2106)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,1.269722695,,,,,,0.757835919,,,,,2.285134383,,,3.077369004,
AZ6102 (GDSC2:2109)_Sanger,num,Drug Screen,GDSC2_Sanger,,3.287403957,2.199403869,,,2.778201001,,,3.22088142,,,1.720811717,3.196805822,3.064222922,,,,3.094871057,1.988863904,,,,2.061400128,,2.987168356,2.608379784,
AT13148 (GDSC2:2170)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,,,,,,,,2.096054537,,,,,3.260541458,
